編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLSJJIHFFEP86CA,,223.19,停車空間、一般事務所,鋼筋混凝土造,101年6月4日,四層,一層 二層 三層 四層 陽台
RPPNMLSJJIHFFDP78DA,42,112.01,住商用,加強磚造,60年1月5日,二層,一層 二層 陽台 騎樓
RPPNMLNLJIHFFDP48DA,6,1102.95,屠宰場廠房、辦公室、汙水處理機房、倉庫物料間,鋼骨造,96年4月9日,二層,一層 二層 電梯樓梯間
RPSNMLRJJIHFFDP98DA,13,24.54,住家用,鋼筋混凝土造,88年7月30日,十四層,五層 陽台
RPSNMLRJJIHFFDP98DA,13,5.07,共有部份,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLRJJIHFFDP98DA,13,.47,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLRJJIHFFDP98DA,13,8.10,樓，電梯間（共同使用）,鋼筋混凝土造,88年7月30日,十四層,
RPQNMLSLJIHFFBP88DA,,214.20,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台 電梯樓梯間
RPTNMLRLJIHFFDP66DA,32,76.57,住商用,鋼造,70年3月21日,二層,一層 二層 騎樓
RPPNMLSLJIHFFBP78DA,,214.20,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台 電梯樓梯間
RPSNMLSJJIHFFDP09DA,20,166.86,住商用,鋼筋混凝土造,81年12月5日,三層,一層 二層 三層 陽台 騎樓 電梯樓梯間
RPSNMLSLJIHFFBP09DA,,214.20,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台 電梯樓梯間
RPROMLOKJHIFFAP48DA,1,173.56,一般零售業(店舖),鋼筋混凝土造,100年12月2日,三層,一層 二層 三層 陽台
RPQNMLTLJIHFFBP98DA,,214.20,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台 電梯樓梯間
RPUNMLSLJIHFFBP66DA,,210.15,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台 電梯樓梯間
RPPNMLTLJIHFFBP88DA,,277.06,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台
RPTNMLSLJIHFFBP56DA,,217.74,住家用,鋼筋混凝土造,101年5月20日,三層,一層 二層 三層 陽台 電梯樓梯間
