鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
安樂區,房地(土地+建物),基隆市安樂區安和一街6巷54之1號,32.8,住,,,1010916,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0690729,72.41,3,2,1,有,無,無,8000,110,,0.0,0,,RPVNMLPJJIHFFCC77CC
七堵區,房地(土地+建物),基隆市七堵區實踐路168號3樓,25.57,住,,,1011010,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850705,97.78999999999999,3,2,2,有,有,無,9000,92,,0.0,0,,RPWNMLPJJIHFFCC87CC
信義區,房地(土地+建物),基隆市信義區福民街71巷1號,114.87,其他,,,1010918,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830831,133.9,4,2,1,有,有,無,10000,75,,0.0,0,,RPUNMLPJJIHFFBC57CC
七堵區,建物,基隆市七堵區崇信街21巷1．1之1號,0.0,住,,,1010801,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土加強磚造,0621203,52.12,2,1,1,有,無,有,7000,134,,0.0,0,,RPPNMLPJJIHFFCC27DC
七堵區,建物,基隆市七堵區工建路1之19號,0.0,工,,,1010810,土地0建物0車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0971003,51.19,2,0,1,有,有,有,8000,156,,0.0,0,,RPSNMLPJJIHFFCC57DC
暖暖區,房地(土地+建物),基隆市暖暖區源遠路292巷1之36號,26.71,住,,,1011105,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701214,86.28,3,2,1,有,無,無,6000,70,,0.0,0,,RPRNMLQJJIHFFCC47CC
七堵區,建物,基隆市七堵區工建路21-1號2樓,0.0,工,,,1010822,土地0建物1車位0,二層,4,廠辦,見其他登記事項,鋼筋混凝土造,1001019,2079.0,0,0,1,無,無,無,323400,156,,0.0,0,,RPQNMLRJJIHFFCC47CC
七堵區,房地(土地+建物),基隆市七堵區大德路85之5號5樓之2,10.93,住,,,1010919,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881125,72.93,2,1,1,有,有,無,8500,117,,0.0,0,,RPRNMLRJJIHFFCC57CC
中正區,房地(土地+建物),基隆市中正區觀海街113號6樓,16.75,住,,,1010829,土地2建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,87.83,2,2,2,有,有,有,8000,91,,0.0,0,,RPUNMLRJJIHFFBC77CC
中正區,房地(土地+建物),基隆市中正區八斗街47之5號,23.2,住,,,1010901,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0691213,79.72,3,2,1,有,無,有,12000,151,,0.0,0,,RPQNMLOKJIHFFBC17CC
中正區,房地(土地+建物),基隆市中正區立德路86-2號,29.64,住,,,1010819,土地3建物1車位0,三層,5,公寓(5樓含以下無電梯),國民住宅,鋼筋混凝土造,0711229,95.3,3,2,1,有,無,有,7000,73,,0.0,0,,RPTNMLOKJIHFFBC47CC
七堵區,房地(土地+建物),基隆市七堵區南興路23號4樓,15.66,商,,,1010825,土地1建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840104,82.14,2,1,1,有,無,有,9000,110,,0.0,0,,RPRNMLOKJIHFFCC37CC
七堵區,建物,基隆市七堵區百六街112號,0.0,商,,,1010929,土地0建物1車位0,一層,7,店面(店鋪),住家用,鋼筋混凝土造,0820402,155.67,0,0,0,無,有,無,28000,180,,0.0,0,,RPPOMLOKJIHFFCC27CC
中正區,車位,基隆市中正區信二路296之1號等共同使用,0.0,商,,,1011002,土地0建物0車位1,地下一層,,住宅大樓(11層含以上有電梯),,,,7.6,0,0,0,有,有,無,3000,,坡道機械,7.6,3000,,RPOOMLPKJIHFFBC17CC
安樂區,建物,基隆市安樂區中和路85巷22號4樓,0.0,住,,,1011022,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,60.19,3,2,1,有,有,有,8000,133,,0.0,0,,RPVOMLQKJIHFFCC08CC
安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷210號1樓,15.56,住,,,1011113,土地1建物1車位0,一層,13,店面(店鋪),商業用,鋼筋混凝土造,0880114,96.2,0,0,0,無,有,無,21000,218,,0.0,0,,RPPNMLTKJIHFFCC77DC
暖暖區,房地(土地+建物),基隆市暖暖區東碇路320號5樓,9.14,住,,,1010823,土地1建物2車位0,五層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860623,58.64,0,0,0,無,有,有,12000,205,,0.0,0,,RPSNMLTKJIHFFCC08DC
中正區,建物,基隆市中正區信一路177之6號,0.0,商,,,1010923,土地0建物5車位0,一層,33,店面(店鋪),商業用,鋼骨鋼筋混凝土造,0900221,244.56,0,0,0,無,有,無,87500,358,,0.0,0,,RPXNMLKLJIHFFBC67DC
中山區,建物,基隆市中山區西定路282號,0.0,商,,,1010929,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0600123,141.03,0,0,0,無,無,無,20000,142,,0.0,0,,RPSNMLNLJIHFFCC47CC
暖暖區,建物,基隆市暖暖區東碇路530號3樓,0.0,住,,,1010916,土地0建物0車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861117,58.12,2,1,1,有,有,無,5000,86,,0.0,0,,RPTNMLNLJIHFFCC57CC
暖暖區,建物,基隆市暖暖區東碇路525號9樓,0.0,住,,,1011003,土地0建物0車位1,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960726,123.56,3,2,2,有,有,有,15000,129,坡道平面,30.44,0,,RPUNMLNLJIHFFCC67CC
暖暖區,房地(土地+建物),基隆市暖暖區源遠路297巷72號2樓,16.38,住,,,1011124,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840914,62.58,2,2,1,有,有,有,5500,88,,0.0,0,,RPPNMLOLJIHFFCC27CC
七堵區,房地(土地+建物),基隆市七堵區百六街83巷24號4樓,41.68,住,,,1011101,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870713,99.69999999999999,3,2,2,有,有,有,10000,100,,0.0,0,,RPXNMLTLJIHFFCC58CC
