鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西屯區,房地(土地+建物),台中市西屯區甘肅路一段10號6樓之15,2.55,住,,,1011205,土地1建物1車位0,六層,15,套房(1房1廳1衛),住家用,鋼筋混凝土造,0860203,22.79,1,0,1,有,有,有,5500,241,,0.0,0,,RPRQMLLKKIHFFCB37CC
南屯區,房地(土地+建物)+車位,台中市南屯區五權西路二段803號十二樓之2,25.36,住,,,1011209,土地2建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980825,153.19,3,2,2,有,有,有,30000,196,坡道平面,30.89,0,,RPTQMLLKKIHFFCB57CC
西屯區,建物,台中市西屯區西屯路三段166之69號,0.0,住,,,1011210,土地0建物1車位0,一層,5,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950512,50.75,0,0,0,無,無,無,60000,1182,,0.0,0,,RPORMLLKKIHFFCB17CC
南屯區,建物,台中市南屯區大墩路632號,0.0,商,,,1011208,土地0建物1車位0,一層,1,店面(店鋪),商業用,鋼造,0780601,995.82,0,0,0,無,無,無,150000,151,,0.0,0,,RPRRMLLKKIHFFCB47CC
太平區,房地(土地+建物),台中市太平區中山路4段55巷24號,98.96,住,,,1011118,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0710220,123.29,6,2,2,有,無,無,20000,162,,0.0,0,,RPRNMLLKKIHFFHL68DC
太平區,房地(土地+建物),台中市太平區育仁南路68號,82.0,住,,,1011225,土地3建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730530,156.1,4,2,4,有,無,有,15000,96,,0.0,0,,RPSNMLLKKIHFFHL68CC
烏日區,建物,台中市烏日區建國路377號,0.0,,,,1011211,土地0建物1車位0,四層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010111,177.9,4,4,4,有,無,有,23000,129,,0.0,0,,RPSNMLMKKIHFFGL68CC
太平區,房地(土地+建物),台中市太平區台中市太平區大興15街50巷6號,100.42,住,鄉村區,乙種建築用地,1011117,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0680415,96.44,4,2,4,有,無,無,14000,145,,0.0,0,,RPSNMLMKKIHFFHL88DC
大甲區,房地(土地+建物),台中市大甲區經國路102號,95.0,住,,,1011211,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土加強磚造,0650820,96.98,2,1,2,有,無,無,15000,155,,0.0,0,3樓部分為增建，一併出租,RPUNMLMKKIHFFBL38CC
大雅區,房地(土地+建物),台中市大雅區神林南路665號,77.0,其他,,,1011201,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0890106,240.0,4,3,4,有,無,有,26000,108,,0.0,0,,RPSNMLMKKIHFFFL68DC
大雅區,房地(土地+建物),台中市大雅區雅潭路319-1號,129.0,其他,,,1020108,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1010220,356.72,4,3,4,有,無,有,53000,149,,0.0,0,,RPVNMLMKKIHFFFL98DC
西屯區,房地(土地+建物)+車位,台中市西屯區弘孝路161號4樓2,4.95,商,,,1011130,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990201,94.56,2,1,2,有,有,有,23000,243,坡道平面,32.43,0,,RPVNMLMKKIHFFCB57CC
西屯區,房地(土地+建物),台中市西屯區文心路三段6號18樓1,6.24,商,,,1011122,土地1建物1車位0,十八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,45.34,0,0,0,無,有,有,15000,331,,0.0,0,,RPWNMLMKKIHFFCB67CC
西屯區,房地(土地+建物)+車位,台中市西屯區文心路三段6-6號14樓6,10.54,商,,,1011205,土地1建物1車位1,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980813,130.88,3,2,1,有,有,有,19000,145,坡道平面,35.9,0,,RPQOMLMKKIHFFCB17CC
西屯區,建物,台中市西屯區安林路25之5號及25號,0.0,農,,,1011114,土地0建物2車位2,全,4,透天厝,住家用,鋼筋混凝土造,0890114,240.33999999999997,5,2,3,有,有,有,26000,108,坡道平面,0.0,0,,RPUPMLMKKIHFFCB67CC
南屯區,建物,台中市南屯區文心南三路５３７號,0.0,商,,,1011115,土地0建物1車位1,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0820308,173.26,3,2,2,有,有,無,40000,231,坡道機械,0.0,0,,RPVPMLMKKIHFFCB77CC
南屯區,建物,台中市南屯區永春東一路559號9樓之2,0.0,,,,1011130,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880128,101.6,3,2,2,有,有,無,19000,187,坡道平面,16.52,0,,RPRQMLMKKIHFFCB47CC
北區,房地(土地+建物),台中市北區五常街380號五樓之21,2.67,住,,,1011120,土地1建物1車位0,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,28.33,1,1,1,有,有,有,7500,265,,0.0,0,套房挑高4米2,RPRNMLMKKIHFFBB17DC
北區,房地(土地+建物),台中市北區五常街380號十三樓之25,2.87,住,,,1011115,土地1建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.85,1,1,1,有,有,有,7500,243,,0.0,0,套房挑高4米2,RPSNMLMKKIHFFBB27DC
北區,房地(土地+建物),台中市北區五常街380號十三樓之31,3.25,住,,,1011201,土地1建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,33.07,1,1,1,有,有,有,8000,242,,0.0,0,套房挑高4米2,RPTNMLMKKIHFFBB37DC
北區,房地(土地+建物),台中市北區五常街380號十五樓之10,3.06,住,,,1011210,土地1建物1車位0,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,33.129999999999995,1,1,1,有,有,有,8000,241,,0.0,0,套房挑高4米2,RPUNMLMKKIHFFBB47DC
北區,房地(土地+建物),台中市北區五常街380號十六樓之08,4.39,住,,,1011210,土地1建物1車位0,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,50.489999999999995,1,1,1,有,有,有,10000,198,,0.0,0,套房挑高4米2,RPVNMLMKKIHFFBB57DC
北屯區,建物,台中市北屯區瀋陽路二段171號、安順東六街40號,0.0,住,,,1011117,土地0建物2車位0,一層,14,店面(店鋪),見其他登記事項,鋼筋混凝土造,0961231,199.01999999999998,0,0,0,無,有,無,58000,291,,0.0,0,,RPQPMLMKKIHFFBB17CC
北區,房地(土地+建物)+車位,台中市北區文心路四段190號11樓之9,8.34,住,,,1011115,土地1建物3車位1,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,91.84,1,1,1,有,有,有,14000,152,坡道機械,0.0,0,管理費房客繳納。,RPTPMLMKKIHFFBB47CC
北區,建物,台中市北區大雅路４４８之６號,0.0,住,,,1011127,土地0建物0車位0,見其他登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0761109,291.39,0,0,0,無,無,無,70000,240,,0.0,0,,RPOQMLMKKIHFFBB07CC
北屯區,房地(土地+建物)+車位,台中市北屯區瀋陽北路13巷33號4F,25.14,住,,,1011210,土地1建物1車位1,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820806,20.5,3,2,2,有,有,有,14000,683,升降平面,16.53,0,,RPVNMLNKKIHFFBB57CC
西區,房地(土地+建物),台中市西區公益路221號12樓之3,14.4,住,,,1011210,土地1建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870918,147.25,3,2,1,有,有,無,23000,156,,0.0,0,,RPROMLNKKIHFFAB17CC
