編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSKQHIFFDR07CA,29,94.19,住商用,加強磚造,73年1月27日,二層,一層 二層 陽台 騎樓
RPVNMLNJQHIFFER17CA,,198.85,住家用,鋼筋混凝土造,102年4月30日,三層,一層 二層 三層 屋頂突出物
RPPNMLOKQHIFFAD57CA,19,102.55,住家用,鋼筋混凝土造,83年10月19日,十三層,十二層 陽台 花台
RPPNMLOKQHIFFAD57CA,19,28.64,共有部分,鋼筋混凝土造,83年10月19日,十三層,
RPPNMLOKQHIFFAD57CA,19,14.74,共有部分,鋼筋混凝土造,83年10月19日,十三層,
RPPNMLOKQHIFFAD57CA,19,16.73,共有部分,鋼筋混凝土造,83年10月19日,十三層,
RPWNMLNJQHIFFER27CA,,176.54,住家用,鋼筋混凝土造,102年4月30日,四層,一層 二層 三層 四層 陽台
RPOOMLNJQHIFFER56CA,,176.54,住家用,鋼筋混凝土造,102年4月30日,四層,一層 二層 三層 四層 陽台
RPVPMLKLQHIFFER27CA,6,154.16,住家用,鋼筋混凝土造,96年3月5日,七層,四層 陽台
RPPOMLNJQHIFFER66CA,,176.54,住家用,鋼筋混凝土造,102年4月30日,四層,一層 二層 三層 四層 陽台
RPRNMLQJQHIFFFR17CA,39,4833.80,工業用,鋼筋混凝土加強磚造,63年5月1日,一層,一層
RPOOMLNJQHIFFDR09CA,1,208.68,住商用,鋼筋混凝土造,101年8月6日,四層,一層 二層 三層 四層 陽台 騎樓
RPPOMLKMQHIFFER66CA,,496.86,住家用,鋼筋混凝土造,102年4月1日,四層,一層 二層 三層 四層 陽台 屋頂突出物 見其他登記事項
RPOOMLTJQHIFFFR27CA,6,5.59,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPOOMLTJQHIFFFR27CA,6,8.04,辦公室,鋼筋混凝土造,96年9月20日,四層,三層 雨遮
SPOOMLTJQHIFFFR37CA,6,8.04,辦公室,鋼筋混凝土造,96年9月20日,四層,三層 雨遮
SPOOMLTJQHIFFFR37CA,6,5.59,共有部分,鋼筋混凝土造,96年9月20日,四層,
RPQPMLLJQHIFFHR96CA,8,255.91,住家用,鋼筋混凝土造,94年5月25日,四層,一層 二層 三層 四層 陽台 屋頂突出物
RPTNMLMJQHIFFHR17CA,19,80.92,住家用,鋼筋混凝土造,83年5月4日,十五層,九層 陽台
RPTNMLMJQHIFFHR17CA,19,21.13,共有部分,鋼筋混凝土造,83年5月4日,十六層,
RPTNMLMJQHIFFHR17CA,19,10.80,共有部分,鋼筋混凝土造,83年5月4日,十五層,
RPVOMLPJQHIFFHR77CA,23,17.47,住家用,鋼筋混凝土造,79年12月3日,七層,三層 陽台
RPVOMLPJQHIFFHR77CA,23,4.17,共有部分,鋼筋混凝土造,79年12月3日,七層,
RPVOMLPJQHIFFHR77CA,23,5.35,共有部分,鋼筋混凝土造,79年12月3日,七層,
RPTOMLKLQHIFFCD97CA,14,90.39,國民住宅,鋼筋混凝土造,88年10月21日,十三層,二層 陽台
RPTOMLKLQHIFFCD97CA,14,18.84,共有部分,鋼筋混凝土造,88年10月21日,十三層,
RPTOMLKLQHIFFCD97CA,14,31.51,共有部分,鋼筋混凝土造,88年10月21日,十三層,
RPRNMLPJQHIFFHR27CA,30,115.23,住家用,加強磚造,72年8月1日,二層,一層 二層 陽台 電梯樓梯間
RPOOMLSJQHIFFHR37CA,25,112.11,住家用,鋼筋混凝土造,77年6月13日,二層,一層 二層 騎樓
RPWOMLQKQHIFFHR08CA,25,136.93,住家用,加強磚造,77年8月20日,二層,一層 二層 陽台 電梯樓梯間
RPOPMLMKQHIFFHR96CA,14,57.02,住家用,鋼筋混凝土造,88年5月19日,十一層,三層 陽台 雨遮
RPOPMLMKQHIFFHR96CA,14,17.89,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPOPMLMKQHIFFHR96CA,14,6.38,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPXNMLQKQHIFFHR08CA,14,84.07,住家用,鋼筋混凝土造,88年8月24日,十四層,十一層 陽台
RPXNMLQKQHIFFHR08CA,14,16.60,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPXNMLQKQHIFFHR08CA,14,2.09,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPXNMLQKQHIFFHR08CA,14,3.80,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPSOMLOKQHIFFHR47CA,32,64.61,住家用,鋼筋混凝土造,70年12月28日,五層,四層 陽台
