編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLNKQHIFFDQ56CA,27,108.38,住家用,鋼筋混凝土加強磚造,75年2月5日,二層,一層 二層 電梯樓梯間
RPPNMLQKQHIFFDQ76CA,34,90.68,住家用,鋼筋混凝土加強磚造,68年2月17日,二層,一層 二層 騎樓
RPQOMLNKQHIFFDQ66CA,19,199.50,住商用,鋼筋混凝土造,83年3月3日,三層,一層 二層 三層 見其他登記事項
RPPOMLLLQHIFFCQ98CA,1,235.84,住宅、停車空間、店舖、機電空間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項 見其他登記事項
RPOOMLLLQHIFFCQ88CA,,205.91,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLOKQHIFFBQ07CA,17,92.00,住家用,鋼筋混凝土造,85年8月15日,十四層,十層 陽台
RPWNMLTKQHIFFCQ67CA,33,100.10,住家用,鋼筋混凝土加強磚造,69年4月30日,二層,一層 二層 騎樓
RPROMLLLQHIFFCQ56CA,1,175.68,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPTOMLNJRHIFFDQ96CA,19,110.96,住家用,鋼筋混凝土造,83年9月17日,三層,一層 二層 三層 陽台 電梯樓梯間
RPROMLNKQHIFFDQ86DA,7,1.25,機械室、樓梯間、垃圾處理場、管理中心,鋼筋混凝土造,95年7月18日,三層,
RPROMLNKQHIFFDQ86DA,7,.53,機械室、樓梯間,鋼筋混凝土造,95年7月18日,一層,
RPROMLNKQHIFFDQ86DA,7,.92,機械室、樓梯間、開放空間、交誼室,鋼筋混凝土造,95年7月18日,四層,
RPROMLNKQHIFFDQ86DA,6,197.41,集合住宅,鋼筋混凝土造,96年7月17日,四層,一層 二層 三層 四層 陽台
RPUOMLLLQHIFFCQ86CA,,206.27,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLOKQHIFFBQ76DA,68,118.20,住家用,雜木,35年1月15日,二層,一層 二層
RPSOMLLLQHIFFCQ66CA,,205.91,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPTOMLLLQHIFFCQ76CA,,204.03,住宅、水塔間,鋼筋混凝土造,102年6月4日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLNKQHIFFCQ76CA,19,175.52,住商用,鋼筋混凝土造,83年10月4日,五層,一層 二層 三層 平台 騎樓 見其他登記事項
RPTNMLNKQHIFFCQ76CA,19,2.42,共有部分,鋼筋混凝土造,83年10月4日,五層,
RPQNMLLLQHIFFDQ09CA,32,84.40,住家用,鋼筋混凝土造,70年6月1日,二層,一層 二層
RPQNMLPKQHIFFBQ56CA,,206.64,住家用,鋼筋混凝土造,102年7月1日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLQKQHIFFBQ96DA,33,101.03,住商用,鋼筋混凝土加強磚造,69年8月7日,二層,一層 二層 騎樓
RPTNMLOKQHIFFDQ07DA,19,176.70,住家用,鋼筋混凝土造,83年6月20日,四層,一層 二層 三層 四層 地下層 見其他登記事項
RPTNMLOKQHIFFDQ07DA,19,27.69,共有部分,鋼筋混凝土造,83年6月20日,,
