鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３８號八樓之五,0.0,,,,1130905,土地0建物0車位0,八層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050127,35.06,2,0,2,有,有,有,6500,185,,0.0,0,租金總額含網路費；,RPVSMLQKRHJGFIB37CC,分租套房,有,1130905~1140904,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號１３樓之６,0.0,,,,1130901,土地0建物0車位0,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,25.9,6,0,6,有,有,有,6400,247,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPWSMLQKRHJGFIB47CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３８號八樓之五,0.0,,,,1130910,土地0建物0車位0,八層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050127,35.06,2,0,2,有,有,有,6500,185,,0.0,0,租金總額含網路費；,RPXSMLQKRHJGFIB57CC,分租套房,有,1130910~1140909,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號１０樓之１,0.0,,,,1130901,土地0建物0車位0,十層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,21.8,7,0,7,有,有,有,6400,294,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPOTMLQKRHJGFIB76CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區樹仁路１３８號九樓之一,0.0,,,,1130901,土地0建物0車位0,九層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1050127,36.43,4,0,4,有,有,有,6500,178,,0.0,0,租金總額含網路費；,RPPTMLQKRHJGFIB86CC,分租套房,有,1130901~1140831,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號１３樓之３,0.0,,,,1130901,土地0建物0車位0,十三層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,26.5,6,0,6,有,有,有,7400,279,,0.0,0,多人共同承租2；租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPQTMLQKRHJGFIB96CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號６樓之６,0.0,,,,1130901,土地0建物0車位0,六層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,25.9,6,0,6,有,有,有,6200,239,,0.0,0,多人共同承租2；租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPRTMLQKRHJGFIB07CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
大里區,租賃房屋,臺中市大里區塗城路２９９號,0.0,,,,1130910,土地0建物0車位0,全,4,透天厝,店舖、梯間、住宅、騎樓,鋼筋混凝土造,0830203,13.91,17,0,17,有,無,有,6880,495,,0.0,0,租金總額含網路費；其他網路電視；,RPTTMLQKRHJGFIB27CC,分租套房,無,1130915~1140925,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號９樓之１,0.0,,,,1130901,土地0建物0車位0,九層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,21.8,7,0,7,有,有,有,6400,294,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPUTMLQKRHJGFIB37CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
霧峰區,租賃房屋,臺中市霧峰區草湖路６２號６樓之７,0.0,,,,1130901,土地0建物0車位0,六層,13,住宅大樓(11層含以上有電梯),集合住宅,ＲＣ造、鋼骨造,0980120,21.7,7,0,7,有,有,有,6200,286,,0.0,0,租金總額含網路費；租賃建物部分範圍，且未計入共有部分面積；續租案件；,RPWTMLQKRHJGFIB57CC,分租套房,有,1130901~1140831,有,冷氣、冰箱、網路,一般代管
