編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPRMLQKIINFFDF48CA,,21.13,本共有部份項目有：梯廳、中繼機房、陽台、消防中繼水箱、消防水箱、梯間、電梯機房、水箱等８項。,鋼筋混凝土構造,107年2月13日,二十一層,,持分移轉
RPWNMLQJIINFFBF58DA,7,84.11,集合住宅,鋼筋混凝土造,100年11月23日,十五層,五層 陽臺,全筆移轉
RPWNMLQJIINFFBF58DA,7,18.37,本案共有部分之項目有樓梯間、機械室、水箱等３項,鋼筋混凝土造,100年11月23日,十五層,,持分移轉
RPWPMLLMIINFFAF38CA,,89.47,集合住宅,鋼筋混凝土造,106年12月13日,二十五層,三層 陽臺 雨遮,全筆移轉
RPWNMLQJIINFFBF58DA,7,46.77,本案共有部分之項目有停車空間，伸縮縫，通廊，韻律教室，視聽室（一），（二），（三），公共服務空間（一），（二），（三），（四），（五），管理員室，社區活動中心（一），管委會使用空間（一），（二），（三）等９項,鋼筋混凝土造,100年11月23日,十五層,,持分移轉
RPWPMLLMIINFFAF38CA,,24.84,本共有部分項目有：梯廳、管委會空間、管理員兼副控室、緊急昇降電梯、行動不便者電梯、安全梯、消防排煙進風管道、排煙進風消防管道、特別安全梯、排煙室、電力管道、弱電給水管道、制震壁、雨遮、陽台、機電空間、涼亭、男女烤箱、男女廁、男女淋浴間、男女更衣室、男女蒸氣室、門廳、韻律教室、水箱、中繼機房、管委會、水錶室、日用水箱、機械室、水錶牆、電梯機房、機房、樓梯間等３４項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPWPMLLMIINFFAF38CA,,48.35,本共有部分項目有：排風機房、緊急昇降電梯、行動不便者電梯、垃圾集中處、梯廳、安全梯、汙水設施、機電空間、蓄水池、汙水設備空間、消防機房（住）、發電機房（住）、機房、電信室（住）、防災中心（住宅區）、台電配電場所（室）、發電機室（住）、機車停車空間、停車空間、防空避難室兼停車空間、雨水機房、雨水池、車道等２３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPWPMLLMIINFFAF38CA,,.79,本共有部分項目有：管道間、排風機房管道、機房、機房管道、發電機房（住）管道、排風管道、進風管道、走廊、通風管道、安全梯、汙水設備空間、排風機房、管道等１３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPPTMLMJIINFFEF28CA,1,125.17,住家用,鋼骨鋼筋混凝土造,106年12月13日,二十九層,十五層 陽臺 雨遮,全筆移轉
RPPTMLMJIINFFEF28CA,1,102.44,本共有部分項目有：門廳、管委會空間、公共服務空間、門廊、排煙室、梯間、陽臺、梯廳、停車空間、車道、台電配電場所、發電機室、消防機房、中繼水箱、防災中心、消防管道、垃圾暫存室、垃圾暫存室裝卸車位、機車停放區、自行車停放區、機車車道、機房、水池機房、電信機房、滯洪沉沙池、防空避難室兼停車空間、蓄水池、污水機房、機械室、水箱等３０項,鋼骨鋼筋混凝土造,106年12月13日,二十九層,,持分移轉
RPPOMLSJIINFFIF78CA,1,67.31,本共有部份之項目有：陽台、閱讀室、交誼廳、梯廳、無障礙升降機、收發室、大廳、視聽室、排煙室、一般升降機、緊急升降機、無障礙電梯、ＫＴＶ室、管委會（會議室）、兒童遊戲室兼健身房、電梯機房、水箱、緊急發電機房、台電配電場所、汽車坡道、機房、裝卸車位、垃圾儲藏室、電信機房、停車空間兼防空避難室、樓梯間、無障礙車位、電表箱、停車空間、污水機房、消防機房等３１項。,鋼筋混凝土造,106年10月3日,十四層,,持分移轉
RPPOMLSJIINFFIF78CA,1,65.99,集合住宅,鋼筋混凝土造,106年10月3日,十四層,十層 陽臺 雨遮,全筆移轉
RPQRMLLMIINFFAF97CA,1,83.44,集合住宅,鋼筋混凝土造,106年12月13日,二十五層,七層 陽臺 雨遮,全筆移轉
RPQRMLLMIINFFAF97CA,1,23.23,本共有部分項目有：梯廳、管委會空間、管理員兼副控室、緊急昇降電梯、行動不便者電梯、安全梯、消防排煙進風管道、排煙進風消防管道、特別安全梯、排煙室、電力管道、弱電給水管道、制震壁、雨遮、陽台、機電空間、涼亭、男女烤箱、男女廁、男女淋浴間、男女更衣室、男女蒸氣室、門廳、韻律教室、水箱、中繼機房、管委會、水錶室、日用水箱、機械室、水錶牆、電梯機房、機房、樓梯間等３４項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPQRMLLMIINFFAF97CA,1,47.98,本共有部分項目有：排風機房、緊急昇降電梯、行動不便者電梯、垃圾集中處、梯廳、安全梯、汙水設施、機電空間、蓄水池、汙水設備空間、消防機房（住）、發電機房（住）、機房、電信室（住）、防災中心（住宅區）、台電配電場所（室）、發電機室（住）、機車停車空間、停車空間、防空避難室兼停車空間、雨水機房、雨水池、車道等２３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPQRMLLMIINFFAF97CA,1,.74,本共有部分項目有：管道間、排風機房管道、機房、機房管道、發電機房（住）管道、排風管道、進風管道、走廊、通風管道、安全梯、汙水設備空間、排風機房、管道等１３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPORMLLMIINFFAF77CA,1,108.30,集合住宅,鋼筋混凝土造,106年12月13日,二十六層,十六層 陽臺 雨遮,全筆移轉
RPORMLLMIINFFAF77CA,1,.96,本共有部分項目有：管道間、排風機房管道、機房、機房管道、發電機房（住）管道、排風管道、進風管道、走廊、通風管道、安全梯、汙水設備空間、排風機房、管道等１３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPQOMLRKIINFFCF28CA,4,125.95,本共有部分之項目有電樓梯間、台電配電室、台電電表區、發電機室、垃圾儲藏室、垃圾處理室、垃圾車位、機械室、游泳機房、灌灑機房、蓄水池、消防泵浦室、防空避難室兼停車空間、機車停車空間、停車空間、儲藏室、球類運動區、三溫暖、走廊、管理委員會、管理員室、一般事務所、防災中心、陽台、水箱等２５項。,鋼骨鋼筋混凝土造,103年1月21日,二十九層,,持分移轉
RPORMLLMIINFFAF77CA,1,30.04,本共有部分項目有：梯廳、管委會空間、管理員兼副控室、緊急昇降電梯、行動不便者電梯、安全梯、消防排煙進風管道、排煙進風消防管道、特別安全梯、排煙室、電力管道、弱電給水管道、制震壁、雨遮、陽台、機電空間、涼亭、男女烤箱、男女廁、男女淋浴間、男女更衣室、男女蒸氣室、門廳、韻律教室、水箱、中繼機房、管委會、水錶室、日用水箱、機械室、水錶牆、電梯機房、機房、樓梯間等３４項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPQOMLRKIINFFCF28CA,4,179.30,住家用,鋼骨鋼筋混凝土造,103年1月21日,二十九層,二十五層 陽臺 雨遮,全筆移轉
RPORMLLMIINFFAF77CA,1,50.56,本共有部分項目有：排風機房、緊急昇降電梯、行動不便者電梯、垃圾集中處、梯廳、安全梯、汙水設施、機電空間、蓄水池、汙水設備空間、消防機房（住）、發電機房（住）、機房、電信室（住）、防災中心（住宅區）、台電配電場所（室）、發電機室（住）、機車停車空間、停車空間、防空避難室兼停車空間、雨水機房、雨水池、車道等２３項,鋼筋混凝土造,106年12月13日,二十八層,,持分移轉
RPWRMLLLRHNFFBF86DA,,83.05,集合住宅,鋼筋混凝土造,107年7月23日,二十六層,二十二層 陽臺 雨遮,全筆移轉
RPWRMLLLRHNFFBF86DA,,72.39,本共有部分之項目有公服空間、公服空間（公共交誼區）、公服空間（儲藏室）、公服空間（輕食／備餐區）、公服空間（健身區）、公服空間（交誼廳／閱覽區）、公服空間（娛樂室）、公服空間（視聽室）、特安梯、排煙室、緊急昇降機、無障礙昇降機、安全梯、梯廳、自行車停車空間、高層建築緩衝空間（有頂蓋）、儲藏室、緊急發電機室排風管道、緊急發電機室進風管道、樓電梯間、消防連結機房、中繼消防水箱、通風換氣設備機械室、升降機機械室、Ａ棟水箱、Ｂ棟水箱、汽車停車空間、機電設備空間、電信室、走道、停車場進氣管道、停車場排氣管道、受電箱、台電配電場所、垃圾暫停車位、垃圾暫存空間、Ａ棟電錶室、Ｂ棟電錶室、防災中心、中繼水箱、消防泵浦室、機車停車空間、車道、緊急發電機房、發電機進氣管道、發電機排氣管道等４６項。,鋼筋混凝土造,107年7月23日,二十六層,,持分移轉
RPSQMLMLIINFFAF08CA,,83.03,集合住宅,鋼筋混凝土造,107年8月17日,十五層,六層 陽臺 雨遮,全筆移轉
RPSQMLMLIINFFAF08CA,,13.63,本共有部分之項目有：梯廳、排煙室、供行動不便者使用電梯、緊急升降機、戶外安全梯、水箱、機械室、安全梯等共計８項。,鋼筋混凝土造,107年8月17日,十五層,,持分移轉
RPSQMLMLIINFFAF08CA,,47.39,本共有部分之項目有：自行車停車空間、公共服務空間休憩區、置物室、管委會空間、排煙室、供行動不便者使用電梯、緊急升降機、台電配電場所、垃圾儲存空間、汽車車道、機車車道、垃圾車暫停車位、安全梯、防空避難室兼停車空間、停車空間、水箱、發電機房、電信機房、汙水機房及雨水機房、消防機房等共計２０項。,鋼筋混凝土造,107年8月17日,十五層,,持分移轉
