鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之７號一樓之２１,0.0,,,,1121022,土地0建物1車位0,一層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,5300,227,,0.0,0,管理費金額:300元,RPRNMLTLKHJGFDQ17CC,獨立套房,有,1121022~1130221,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號二樓之３１,0.0,,,,1130124,土地0建物1車位0,二層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,3800,163,,0.0,0,管理費:300元,RPSNMLTLKHJGFDQ27CC,獨立套房,有,1130124~1140123,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號二樓之２０,0.0,,,,1130101,土地0建物1車位0,二層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,3800,171,,0.0,0,管理費:300元,RPTNMLTLKHJGFDQ37CC,獨立套房,有,1130101~1131231,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號二樓之１８,0.0,,,,1130101,土地0建物1車位0,二層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,3800,171,,0.0,0,管理費:300元,RPUNMLTLKHJGFDQ47CC,獨立套房,有,1130101~1131231,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號二樓之１６,0.0,,,,1121201,土地0建物1車位0,二層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,3500,150,,0.0,0,管理費:300元,RPVNMLTLKHJGFDQ57CC,獨立套房,有,1121201~1141130,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號一樓之１２,0.0,,,,1121201,土地0建物1車位0,一層,5,其他,集合住宅,鋼筋混凝土造,0940815,23.34,1,1,1,有,有,有,3800,163,,0.0,0,管理費:300元,RPWNMLTLKHJGFDQ67CC,獨立套房,有,1121201~1140228,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號五樓之５０,0.0,,,,1120921,土地0建物1車位0,五層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,4500,203,,0.0,0,管理費:300元,RPXNMLTLKHJGFDQ77CC,獨立套房,有,1120921~1121120,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號五樓之４８,0.0,,,,1120921,土地0建物1車位0,五層,5,其他,集合住宅,鋼筋混凝土造,0940815,22.21,1,1,1,有,有,有,4500,203,,0.0,0,管理費:300元,RPOOMLTLKHJGFDQ96CC,獨立套房,有,1120921~1121120,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
太保市,租賃房屋,嘉義縣太保市安仁里頂港子墘４０之８號四樓之５２,0.0,,,,1130206,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0940815,22.21,1,0,1,有,有,有,4200,189,,0.0,0,嘉義縣社會住宅包租代管計畫之物件，管理費300元。,RPQOMLTLKHJGFDQ17CC,獨立套房,無,1130209~1140208,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
義竹鄉,租賃房屋,嘉義縣義竹鄉?子寮３０６之３號,0.0,,,,1130207,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0710402,127.44,3,2,3,有,無,有,13800,108,,0.0,0,嘉義縣社會住宅包租代管計畫之物件。,RPPNMLLJLHJGFBQ48CC,整棟(戶)出租,無,1130210~1140209,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
