編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLTJMHJGFBM98CC,7,65.46,梯廳、防空避難室兼停車空間、丙梯、停車空間、污水機房、消房機房、昇降機、排煙室、甲梯、緊急升降機、一般及緊急升降機、緊急發電機室、電信室、台電配電室、電錶區、管委會空間、乙梯、丁梯、樓梯間、機械室、水錶室、水箱等２２項。,鋼筋混凝土造,105年12月29日,十二層,,
RPPNMLSJMHJGFAM78CC,29,140.94,住家用,鋼筋混凝土造,83年12月14日,三層,,
RPPNMLTKMHJGFAM98CC,45,86.24,住家用,鋼筋混凝土加強磚造,68年5月29日,二層,,
RPQNMLKLMHJGFDM58CC,29,81.55,集合住宅,鋼筋混凝土造,84年4月8日,六層,,
RPQNMLKLMHJGFDM58CC,29,.48,守衛室、會客室兼圖書室等公共設施,鋼筋混凝土造,84年4月8日,六層,,
RPPNMLNLMHJGFDM78CC,28,84.70,集合住宅,鋼筋混凝土造,85年4月24日,七層,,
RPQNMLKLMHJGFDM58CC,29,.48,遊憩室兼社區聯誼會議室等公共設施,鋼筋混凝土造,84年4月8日,六層,,
RPPNMLNLMHJGFDM78CC,28,30.63,防空避難室、停車空間、機械室、門廳車道、變電室、梯間、突出物,鋼筋混凝土造,85年4月24日,七層,,
RPQNMLKLMHJGFDM58CC,29,28.16,避難室、停車場、樓梯間等公共設施,鋼筋混凝土造,84年4月8日,六層,,
RPPNMLNLMHJGFAM48CC,3,58.01,集合住宅,鋼筋混凝土造,109年12月28日,十層,,
RPPNMLNLMHJGFAM48CC,3,61.05,台電配電室、緊急發電機室、消防機房、污水機房、車道、防空避難室兼停車空間、電信室、排煙室、一般昇降機、停車空間、管委會空間、梯廳、甲乙丙梯、緊急昇降機（無障礙）、丁梯、甲乙梯、樓梯間、乙梯、水錶室、機械室、水塔等２１項,鋼筋混凝土造,109年12月28日,十層,,
RPPNMLOLMHJGFAM58CC,19,179.85,住家用,鋼筋混凝土造,94年5月2日,三層,,
RPPNMLSJNHJGFAM88CC,1,34.69,集合住宅,鋼筋混凝土造,112年2月14日,五層,,
RPPNMLSJNHJGFAM88CC,1,17.65,停車空間、電梯機房,鋼筋混凝土造,112年2月14日,五層,,
RPPNMLRJNHJGFAM78CC,29,93.18,住家用,鋼筋混凝土造,83年11月9日,十六層,,
RPPNMLRJNHJGFAM78CC,29,14.11,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,,
RPQNMLOLMHJGFAM68CC,29,98.74,住家用,鋼筋混凝土造,83年11月9日,十六層,,
RPQNMLSJNHJGFAM98CC,1,193.76,住宅、停車空間,鋼筋混凝土造,112年5月30日,四層,,
RPQNMLOLMHJGFAM68CC,29,14.34,騎樓、人行道、梯間、避難室、機械室,鋼筋混凝土造,83年11月9日,十六層,,
