鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
中山區,房地(土地+建物)+車位,基隆市中山區中山一路265號之附近,6.46,商,,,1130223,土地3建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,82.0,2,2,1,有,無,12350000,154925,升降平面,13.58,1750000,交易總價含下列非屬預售屋價格之費用:家電費親友、員工、共有人或其他特殊關係間之交易；,RPQOMLNKLHJGFDC67CB,海揚V1,A棟A5-15F號,
中山區,房地(土地+建物),基隆市中山區中山一路265號之附近,8.36,商,,,1130229,土地3建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,88.59,3,2,2,有,無,12270000,138503,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPSOMLNKLHJGFDC87CB,海揚V1,A棟A1-03F號,
中山區,房地(土地+建物),基隆市中山區中山一路265號之附近,6.92,商,,,1130229,土地3建物1車位0,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,73.33,3,1,1,有,無,10360000,141279,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPTOMLNKLHJGFDC97CB,海揚V1,A棟A2-04F號,
中山區,房地(土地+建物),基隆市中山區中山一路265號之附近,6.92,商,,,1130229,土地3建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,73.33,3,1,1,有,無,10290000,140325,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPPNMLOKLHJGFDC57CB,海揚V1,A棟A2-03F號,
中山區,房地(土地+建物),基隆市中山區中山一路265號之附近,6.92,商,,,1130229,土地3建物1車位0,七層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,73.33,3,1,1,有,無,11400000,155462,,0.0,0,交易總價含下列非屬預售屋價格之費用:家電費,RPQNMLOKLHJGFDC67CB,海揚V1,A棟A2-07F號,
中山區,房地(土地+建物)+車位,基隆市中山區中山一路265號之附近,7.99,商,,,1130222,土地3建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,99.41,3,2,2,有,無,14820000,153237,升降平面,14.77,1850000,交易總價含下列非屬預售屋價格之費用:家電費,RPRNMLOKLHJGFDC77CB,海揚V1,A棟A6-10F號,
中山區,房地(土地+建物)+車位,基隆市中山區中山一路265號之附近,8.15,商,,,1130229,土地3建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,101.15,3,2,2,有,無,15010000,156402,升降平面,14.77,1500000,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKLHJGFDC87CB,海揚V1,A棟A6-14F號,
中山區,房地(土地+建物)+車位,基隆市中山區中山一路265號之附近,8.15,商,,,1130223,土地3建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,101.15,3,2,2,有,無,15250000,152234,升降平面,14.77,2100000,交易總價含下列非屬預售屋價格之費用:家電費親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOKLHJGFDC97CB,海揚V1,A棟A6-13F號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,17.24,住,,,1130229,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,131.19,2,2,2,有,無,15030000,142718,坡道平面,38.49,1800000,,RPPNMLQKLHJGFDC87DB,金富康-馥御,A2棟10號,
七堵區,房地(土地+建物)+車位,基隆市七堵區東新街4巷66號對面,15.43,住,,,1130303,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,121.15,2,2,1,有,無,13080000,136463,坡道平面,38.49,1800000,,RPPNMLSKLHJGFDC08DB,金富康-馥御,A7棟04號,
