編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLQJJIGGFKB97DA,41,27.97,住家用,鋼筋混凝土造,69年5月9日,四層,二層 電梯樓梯間,全筆移轉
RPQRNLKKJIGGFBB07DA,33,20.07,住家用,鋼筋混凝土造,77年12月31日,八層,四層 陽台,全筆移轉
RPQRNLKKJIGGFBB07DA,33,7.20,共用部份,鋼筋混凝土造,77年12月31日,八層,,持分移轉
RPWOMLTLIIGGFCB38EA,30,65.61,住家用,鋼筋混凝土造,80年11月27日,五層,四層 陽台 花台,全筆移轉
RPWOMLTLIIGGFCB38EA,30,9.78,共用部份,鋼筋混凝土造,80年11月27日,五層,,持分移轉
RPQRMLMKJIGGFBB17DA,25,92.49,辦公室,鋼筋混凝土造,86年2月3日,十三層,四層,全筆移轉
RPQRMLMKJIGGFBB17DA,25,34.45,共有部分,鋼筋混凝土造,86年2月3日,十三層,,持分移轉
RPQRMLMKJIGGFBB17DA,25,30.87,共有部分,鋼筋混凝土造,86年2月3日,十三層,,持分移轉
RPPOMLLKJIGGFCB76DA,27,110.20,住家用,鋼筋混凝土造,83年9月12日,十三層,四層 陽台,全筆移轉
RPPOMLLKJIGGFCB76DA,27,55.65,住家用,鋼筋混凝土造,83年9月12日,十三層,,持分移轉
RPXOMLPKJIGGFIB58DA,40,104.89,住商用,加強磚造,71年1月8日,二層,一層 二層,全筆移轉
RPQOMLLKJIGGFAB76EA,16,19.82,共用,鋼筋混凝土造,94年11月17日,二十二層,,持分移轉
RPOOMLMKJIGGFAB56DA,50,19.50,住家用,見其他登記事項,61年2月1日,七層,七層,全筆移轉
RPOOMLMKJIGGFAB56DA,50,19.50,住家用,見其他登記事項,61年2月1日,七層,七層,全筆移轉
RPUNMLMKJIGGFAB07DA,26,1.93,集合住宅,鋼筋混凝土造,84年6月12日,八層,一層 平台,持分移轉
RPUNMLMKJIGGFAB07DA,26,87.09,集合住宅,鋼筋混凝土造,84年6月12日,八層,二層 陽台 花台,全筆移轉
RPUNMLMKJIGGFAB07DA,26,26.83,樓梯間，機械房，水箱，梯間，防空避難室,鋼筋混凝土造,84年6月12日,八層,,持分移轉
RPUNMLMKJIGGFAB07DA,26,5.95,停車空間，防空避難室,鋼筋混凝土造,84年6月12日,八層,,持分移轉
RPTNMLLKJIGGFIB67DA,35,279.12,住宅、梯間,鋼筋混凝土造,75年11月3日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPOPMLPKJIGGFAB07EA,30,79.53,住家用,鋼筋混凝土造,80年6月21日,七層,五層 陽台,全筆移轉
RPOPMLPKJIGGFAB07EA,30,39.75,共用部份,鋼筋混凝土造,80年6月21日,七層,,持分移轉
RPXPMLSJJIGGFBB28EA,31,131.03,住家用,鋼筋混凝土造,79年10月29日,十二層,十一層 陽台,全筆移轉
RPXPMLSJJIGGFBB28EA,31,16.06,停車空間，避難室,鋼筋混凝土造,79年10月29日,十二層,地下層,持分移轉
RPXPMLSJJIGGFBB28EA,31,11.51,共用部份,鋼筋混凝土造,79年10月29日,十二層,,持分移轉
RPTNMLLKJIGGFBB96DA,40,153.31,店房,鋼筋混凝土造,70年6月27日,六層,一層 地下層,全筆移轉
RPVNMLPKJIGGFJB38DA,,72.56,集合住宅,鋼筋混凝土造,110年7月1日,八層,二層 陽台,全筆移轉
RPVNMLPKJIGGFJB38DA,,.46,集合住宅,鋼筋混凝土造,110年7月1日,八層,二層 陽台,持分移轉
RPVNMLPKJIGGFJB38DA,,62.26,防空避難室、停車空間、台電配電室、消防機械室、梯廳、樓梯間、機械室,鋼筋混凝土造,110年7月1日,八層,,持分移轉
