編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPOSMLPJJIGGFDH08DA,25,67.34,住家用,鋼筋混凝土造,86年2月4日,八層,三層 陽台,全筆移轉
RPOSMLPJJIGGFDH08DA,25,7.38,樓梯間、機房、水箱,鋼筋混凝土造,86年2月4日,八層,,持分移轉
RPOSMLPJJIGGFDH08DA,25,15.20,停車、防空避難室,鋼筋混凝土造,86年2月4日,八層,,持分移轉
RPOSMLPJJIGGFDH08DA,25,.75,樓梯間、休閒室、車道,鋼筋混凝土造,86年2月4日,八層,,持分移轉
RPOSMLPJJIGGFDH08DA,25,26.45,停車、防空避難室,鋼筋混凝土造,86年2月4日,八層,,持分移轉
RPQNMLSKJIGGFDH18DA,27,122.67,商業用,鋼筋混凝土造,83年5月27日,九層,一層 二層 陽台 平台 騎樓,全筆移轉
RPQNMLSKJIGGFDH18DA,27,7.49,停車場、防空避難室,鋼筋混凝土造,83年5月27日,九層,,持分移轉
RPRSMLMLJIGGFBH08DA,44,244.40,住商用,加強磚造,66年12月13日,二層,一層 二層 騎樓,全筆移轉
RPUSMLTKJIGGFBH98DA,27,129.57,住家用,鋼筋混凝土造,83年10月12日,八層,六層 陽台 花台,全筆移轉
RPUSMLTKJIGGFBH98DA,27,.00,共有部份,鋼筋混凝土造,83年10月12日,十六層,,
RPUSMLTKJIGGFBH98DA,27,13.47,共有部份,鋼筋混凝土造,83年10月12日,十六層,,持分移轉
RPTNMLQKJIGGFCH18DA,1,34.61,一般服務業,鋼筋混凝土造,109年11月4日,十五層,十五層 陽台,全筆移轉
RPTNMLQKJIGGFCH18DA,1,21.20,共有部分：停車空間、防空避難室兼停車空間、管理委員會使用空間、梯間、機械室、消防水箱、水箱,鋼筋混凝土造,109年11月4日,十五層,,持分移轉
RPWNMLQKJIGGFCH48DA,1,46.60,一般服務業,鋼筋混凝土造,109年11月4日,十五層,三層 陽台,全筆移轉
RPWNMLQKJIGGFCH48DA,1,28.53,共有部分：停車空間、防空避難室兼停車空間、管理委員會使用空間、梯間、機械室、消防水箱、水箱,鋼筋混凝土造,109年11月4日,十五層,,持分移轉
RPUNMLMLJIGGFCH97DA,42,47.88,住家用,加強磚造,68年9月25日,二層,一層 二層,全筆移轉
RPROMLSKJIGGFCH28DA,4,91.41,集合住宅,鋼筋混凝土造,106年8月10日,十五層,十層 陽台,全筆移轉
RPTOMLRKJIGGFCH38DA,41,117.86,住家用,加強磚造,70年2月1日,二層,一層 二層 騎樓,全筆移轉
RPSOMLTKIIGGFCH38DA,15,240.23,店舖、住宅、停車空間、騎樓,鋼筋混凝土造,95年11月28日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓 見其他登記事項,全筆移轉
RPSOMLTKIIGGFCH38DA,15,2.33,共用（台電配電室）,鋼筋混凝土造,95年11月28日,一層,,持分移轉
RPROMLSKJIGGFCH28DA,4,69.65,共有部分：防空避難室兼停車空間、停車空間、附屬管委會空間、門廳、資源回收室、附屬樓梯間、電梯間、機房、水箱,鋼筋混凝土造,106年8月10日,十五層,,持分移轉
RPPNMLNLJIGGFBH47DA,27,86.24,住家用,鋼筋混凝土造,83年6月7日,十五層,七層 陽台 花台,全筆移轉
RPPNMLNLJIGGFBH47DA,27,15.46,共有部份,鋼筋混凝土造,83年6月7日,十五層,,持分移轉
RPPNMLNLJIGGFBH47DA,27,6.60,共有部份,鋼筋混凝土造,83年6月7日,十五層,,持分移轉
RPPNMLNLJIGGFBH47DA,27,3.37,共有部份,鋼筋混凝土造,83年6月7日,十五層,,持分移轉
RPQRMLTKJIGGFBH58EA,22,66.19,住家用,鋼筋混凝土造,88年11月10日,九層,三層 陽台 雨遮,全筆移轉
RPQRMLTKJIGGFBH58EA,22,13.60,共有部份,鋼筋混凝土造,88年11月10日,九層,,持分移轉
RPQRMLTKJIGGFBH58EA,22,6.46,共有部份,鋼筋混凝土造,88年11月10日,九層,,持分移轉
RPPNMLLKIIGGFFH47DA,7,62.71,住家用,鋼筋混凝土造,103年6月23日,十五層,十四層 陽台,全筆移轉
RPPNMLLKIIGGFFH47DA,7,43.62,共有部分之項目有：防空避難室兼停車空間、消防泵浦室、汙水及雨水回收機房、蓄水池、梯間、停車空間、電信室、台電配電場所、發電機室、垃圾暫存區、開放空間、管委會使用空間、管理空間等計十三項。,鋼筋混凝土造,103年6月23日,十五層,,持分移轉
RPPNMLLKIIGGFFH47DA,7,12.89,共有部分之項目有：梯間、機房、水箱等計三項,鋼筋混凝土造,103年6月23日,十五層,,持分移轉
RPSNMLTKIIGGFCH28DA,41,91.30,住家用,加強磚造,69年10月9日,二層,一層 二層,全筆移轉
RPRRMLTKJIGGFBH68EA,12,44.62,住家用,鋼筋混凝土造,98年7月3日,十五層,四層 陽台 雨遮,全筆移轉
RPRRMLTKJIGGFBH68EA,12,17.28,共有部份,鋼筋混凝土造,98年7月3日,十五層,,持分移轉
RPUOMLPJIIGGFCH08DA,2,291.92,住宅、住宅（附屬停車空間、樓梯間）,鋼筋混凝土造,108年12月10日,四層,一層 二層 三層 四層 陽台 屋簷 見其他登記事項,全筆移轉
RPUOMLPJIIGGFCH08DA,2,.60,共有部分：住宅（附屬電信室）,鋼筋混凝土造,108年12月10日,一層,,持分移轉
RPUNMLTKJIGGFAH48EA,17,.01,管理員室,鋼筋混凝土造,94年3月2日,十三層,一層,持分移轉
RPUNMLTKJIGGFAH48EA,17,23.93,共有部份,鋼筋混凝土造,94年3月2日,十三層,,持分移轉
RPTNMLTKJIGGFAH38EA,17,58.73,住家用,鋼筋混凝土造,94年3月2日,十三層,八層 陽台 雨遮,全筆移轉
RPTNMLTKJIGGFAH38EA,17,10.61,共有部份,鋼筋混凝土造,94年3月2日,十三層,,持分移轉
RPTNMLTKJIGGFAH38EA,17,12.21,共有部份,鋼筋混凝土造,94年3月2日,十三層,,持分移轉
RPOQMLMLJIGGFBH67EA,15,.03,辦公室,鋼筋混凝土造,95年9月10日,十二層,一層,持分移轉
RPOQMLMLJIGGFBH67EA,15,81.57,住家用,鋼筋混凝土造,95年9月10日,十三層,十二層 陽台 雨遮,全筆移轉
RPOQMLMLJIGGFBH67EA,15,18.43,共有部份,鋼筋混凝土造,95年9月10日,十二層,,持分移轉
RPOQMLMLJIGGFBH67EA,15,20.69,共有部份,鋼筋混凝土造,95年9月10日,十二層,,持分移轉
RPOQMLMLJIGGFBH67EA,15,11.18,共有部份,鋼筋混凝土造,95年9月10日,十三層,,持分移轉
RPXPMLMLJIGGFDH68EA,27,112.67,住家用,鋼筋混凝土造,83年9月12日,六層,四層 陽台 花台 雨遮,全筆移轉
RPXPMLMLJIGGFDH68EA,27,6.25,共有部份,鋼筋混凝土造,83年9月12日,六層,,持分移轉
RPXPMLMLJIGGFDH68EA,27,3.43,共有部份,鋼筋混凝土造,83年9月12日,六層,,持分移轉
RPUOMLTKJIGGFEH98EA,22,105.33,住家用,鋼筋混凝土造,88年12月30日,十二層,十層 陽台,全筆移轉
RPUOMLTKJIGGFEH98EA,22,24.62,共有部份,鋼筋混凝土造,88年12月30日,十三層,,持分移轉
RPUOMLTKJIGGFEH98EA,22,33.33,共有部份,鋼筋混凝土造,88年12月30日,十三層,,持分移轉
RPTOMLTKJIGGFAH48EA,40,114.05,住家用,鋼筋混凝土造,70年7月7日,四層,四層,全筆移轉
RPTOMLTKJIGGFAH48EA,40,4.62,共有部份,鋼筋混凝土造,70年7月7日,四層,,持分移轉
RPWNMLMLJIGGFFH58EA,26,91.94,住家用,鋼筋混凝土造,84年12月1日,十五層,十五層 陽台 花台,全筆移轉
RPWNMLMLJIGGFFH58EA,26,8.71,停車場,鋼筋混凝土造,84年12月1日,十五層,地下三層,持分移轉
RPWNMLMLJIGGFFH58EA,26,22.78,共有部份,鋼筋混凝土造,84年12月1日,十五層,,持分移轉
RPPNMLKMIIGGFGH67DA,29,88.00,商業用,鋼筋混凝土造,81年5月18日,五層,一層 陽台 平台 夾層,全筆移轉
RPPNMLKMIIGGFGH67DA,29,11.68,共有部份,鋼筋混凝土造,81年5月18日,五層,,持分移轉
RPVNMLTKJIGGFFH09EA,27,78.51,住家用,鋼筋混凝土造,83年10月27日,六層,四層 陽台 花台,全筆移轉
RPVNMLTKJIGGFFH09EA,27,28.00,共有部份,鋼筋混凝土造,83年10月27日,六層,,持分移轉
RPVNMLSKJIGGFGH98DA,5,76.09,住家用,鋼筋混凝土造,105年7月1日,十五層,三層 陽台,全筆移轉
RPVNMLSKJIGGFGH98DA,5,35.20,共有部份,鋼筋混凝土造,105年7月1日,十五層,,持分移轉
RPSOMLTJJIGGFGH78DA,5,85.44,住家用,鋼筋混凝土造,105年7月1日,十五層,十五層 陽台,全筆移轉
RPSOMLTJJIGGFGH78DA,5,39.53,共有部份,鋼筋混凝土造,105年7月1日,十五層,,持分移轉
RPQOMLMLJIGGFHH28EA,6,113.43,住家用,鋼筋混凝土造,104年7月9日,二十一層,二十層 陽台,全筆移轉
RPQOMLMLJIGGFHH28EA,6,37.13,建物共有部分項目：電樓梯間、集合住宅（附屬公共服務空間、管委會空間）、集合住宅（附屬中繼機房）、集合住宅（附屬梯廳）、集合住宅（附屬電梯機房、排煙機房）、集合住宅（附屬屋頂水箱）等８項,鋼筋混凝土造,104年7月9日,二十一層,,持分移轉
RPQOMLMLJIGGFHH28EA,6,11.33,建物共有部分項目：集合住宅（附屬停車空間）等,鋼筋混凝土造,104年7月9日,二十一層,,持分移轉
RPQOMLMLJIGGFHH28EA,6,72.79,建物共有部分項目：停車空間、車道等２項,鋼筋混凝土造,104年7月9日,二十一層,,持分移轉
