鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中區,房地(土地+建物),台中市中區成功路306巷10號3-7樓,1.25,商,,,1020202,土地1建物1車位0,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821102,13.91,1,0,1,有,有,有,5000,359,,0.0,0,,RPWPMLLJKHIFFAB47CC
南屯區,房地(土地+建物),台中市南屯區大墩六街218號12 樓之2,18.0,住,,,1020120,土地1建物1車位0,十二層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811113,76.8,1,1,1,有,有,有,6500,85,,0.0,0,租賃範圍不含車位，且無法區分車位面積。,RPXNMLLJKHIFFCB57CC
西屯區,房地(土地+建物),台中市西屯區永福路132號14樓之7,4.95,住,,,1020201,土地0建物0車位0,十四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850527,41.91,1,0,1,有,有,有,10450,249,,0.0,0,,RPRPMLLJKHIFFCB17CC
西區,房地(土地+建物),台中市西區精誠一街8號,111.0,住,,,1020215,土地4建物1車位0,一層,2,店面(店鋪),見其他登記事項,見其他登記事項,0600608,109.32,0,0,0,無,無,無,48000,439,,0.0,0,,RPSNMLNJKHIFFAB17DC
太平區,房地(土地+建物),台中市太平區宜昌路326號12樓之3,4.29,住,,,1020115,土地1建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0821231,26.91,1,1,1,有,有,有,4000,149,,0.0,0,,RPPNMLNJKHIFFHL58DC
東區,房地(土地+建物),台中市東區東門路116號1樓-6,27.42,商,,,1010116,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0830131,134.99,0,1,1,有,有,無,9000,67,,0.0,0,,RPUOMLOJKHIFFAB57DC
梧棲區,房地(土地+建物),台中市梧棲區大仁路二段353巷6號四樓之二,44.5,住,,,1020201,土地1建物1車位0,四層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850828,121.82,2,2,1,有,有,有,8000,66,,0.0,0,,RPTQMLOJKHIFFCL78CC
北區,房地(土地+建物),台中市北區梅川東路三段2巷23號3樓,615.0,住,,,1020118,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820526,107.58,3,2,2,有,有,無,7000,65,,0.0,0,,RPPOMLOJKHIFFBB17DC
南屯區,房地(土地+建物)+車位,台中市南屯區東興路3段227號,31.21,商,,,1020222,土地1建物1車位2,一層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960920,308.26,0,0,0,無,無,無,75000,243,坡道平面,27.94,0,,RPTSMLOJKHIFFCB97CC
南屯區,房地(土地+建物)+車位,台中市南屯區文心路一段306號3樓之3,43.74,商,,,1020121,土地1建物1車位1,三層,13,辦公商業大樓,商業用,鋼筋混凝土造,0830120,212.0,0,0,0,無,有,無,35000,165,坡道機械,0.0,0,,RPUTMLOJKHIFFCB18CC
南屯區,房地(土地+建物),台中市南屯區文心路一段378號5F-8,5.45,商,,,1020121,土地1建物1車位0,五層,29,辦公商業大樓,商業用,鋼筋混凝土造,0830825,57.93,0,0,0,無,有,無,10000,173,,0.0,0,,RPSUMLOJKHIFFCB08CC
南區,房地(土地+建物),台中市南區復興路一段253號,84.0,住,,,1020112,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0760728,54.67,0,1,1,有,無,無,17640,323,,0.0,0,,RPRNMLOJKHIFFAB07CC
西區,房地(土地+建物)+車位,台中市西區忠明南路112號10樓之10,12.3,住,,,1020104,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,135.96,2,2,2,有,有,有,37747,278,坡道平面,0.0,0,,RPUNMLOJKHIFFAB37CC
西區,房地(土地+建物)+車位,台中市西區忠明南路112號13樓之2,13.59,住,,,1020115,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,149.06,2,2,2,有,有,有,38500,258,坡道平面,0.0,0,,RPXNMLOJKHIFFAB67CC
