鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,房地(土地+建物),高雄市苓雅區泰順街66號5樓之1,3.46,商,,,1020401,土地1建物1車位0,五層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701205,38.56,1,1,1,有,有,有,8000,207,,0.0,0,,RPSNMLLJMHIFFBE47CC
苓雅區,車位,高雄市苓雅區新光路62巷B3-132車位,0.0,商,,,1020331,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.65,2000,,RPVNMLLJMHIFFBE77CC
苓雅區,房地(土地+建物)+車位,高雄市苓雅區民權一路39巷9號,20.5,住,,,1020318,土地1建物1車位1,一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860130,143.78,4,2,3,有,有,有,15000,104,升降機械,0.0,0,,RPXNMLLJMHIFFBE97CC
三民區,房地(土地+建物),高雄市三民區正忠路33-1號2F,2080.59,住,,,1020404,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881014,27.65,1,1,1,有,無,有,5500,199,,0.0,0,,RPWNMLLJMHIFFDE08CC
鼓山區,房地(土地+建物),高雄市鼓山區新疆路2號,104.0,住,,,1020415,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0660409,512.11,3,2,2,有,無,有,23000,45,,0.0,0,,RPUNMLLJMHIFFAE57CC
前金區,房地(土地+建物),高雄市前金區青年二路122號,36.0,商,,,1020312,土地1建物1車位0,全,3,透天厝,,加強磚造,0561027,105.74,0,0,0,無,無,無,15000,142,,0.0,0,,RPTPMLLJMHIFFAE67CC
岡山區,房地(土地+建物),高雄市岡山區仁壽南路136號,2689.9,工,,,1020501,土地1建物1車位0,一層,1,工廠,見其他登記事項,見其他登記事項,0991020,192.56,0,0,0,無,無,無,135000,,,0.0,0,,RPQOMLLJMHIFFAS68CC
岡山區,房地(土地+建物),高雄市岡山區嘉興路118號,5330.0,其他,特定農業區,丁種建築用地,1020310,土地2建物2車位0,一層,1,工廠,工業用,鋼造,0641124,2441.64,0,0,0,無,無,無,200000,,,0.0,0,含增建,RPROMLLJMHIFFAS78CC
岡山區,房地(土地+建物),高雄市岡山區竹圍東街140號4樓,25.49,,,,1020311,土地1建物1車位0,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831230,133.81,3,2,2,有,有,有,10000,75,,0.0,0,,RPSOMLLJMHIFFAS88CC
大寮區,土地,翁公園段5716地號,671.0,農,,,1020320,土地0建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,無,40000,,,0.0,0,未登記建物。,RPOOMLLJMHIFFGS09CC
仁武區,土地,仁營段993-34地號,710.0,農,,,1020405,土地0建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,無,50600,,,0.0,0,未登記建物。,RPVNMLLJMHIFFDS76CC
左營區,建物,高雄市左營區崇德路360號,0.0,商,,,1020329,土地0建物1車位0,一層,1,店面(店鋪),商業用,見其它登記事項,0900119,612.8,0,0,0,無,無,有,320000,522,,0.0,0,,RPTNMLMJMHIFFEE97CC
前金區,建物,高雄市前金區自立橫路100號6樓之2,0.0,,,,1020320,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950303,45.91,2,1,1,有,有,有,13500,294,,0.0,0,,RPRNMLMJMHIFFAE37CC
鼓山區,建物,高雄市鼓山區美術北一街83號3樓,0.0,,,,1020316,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930510,59.26,2,2,1,有,無,有,13000,219,,0.0,0,,RPSNMLMJMHIFFAE47CC
鼓山區,房地(土地+建物),高雄市鼓山區龍文街29號6樓,13.79,住,,,1020402,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930913,82.24,2,2,1,有,有,有,14000,170,,0.0,0,租金含管理費,RPXNMLNJMHIFFAE08CC
三民區,房地(土地+建物),高雄市三民區中庸街141巷15號,29.22,住,,,1020402,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730731,96.87,3,2,2,有,無,有,12000,124,,0.0,0,,RPOOMLNJMHIFFDE57CC
三民區,房地(土地+建物),高雄市三民區鼎山街566之10號5樓,9.02,住,,,1020405,土地1建物1車位0,五層,7,華廈(10層含以下有電梯),,鋼筋混凝土造,0771004,53.49,1,1,1,有,有,有,5000,93,,0.0,0,租金含管理費獨立套房,RPVOMLNJMHIFFDE28CC
左營區,房地(土地+建物)+車位,高雄市左營區富國路25號4樓,9.08,住,,,1020310,土地1建物1車位1,四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830707,123.06,3,2,2,有,無,有,10000,81,坡道機械,0.0,0,,RPTPMLNJMHIFFEE28CC
左營區,房地(土地+建物),高雄市左營區自由二路205號,874.0,其他,,,1020326,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0780717,337.08,0,0,0,無,無,有,190000,564,,0.0,0,,RPQQMLNJMHIFFEE08CC
前金區,建物,高雄市前金區光明街77號2樓,44.0,住,,,1020401,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),,加強磚造,0570812,46.13,1,1,1,有,無,有,9000,195,,0.0,0,,RPTNMLOJMHIFFAE77CC
苓雅區,建物,高雄市苓雅區新光路38號20樓-1,2916.0,商,,,1020320,土地0建物1車位0,二十層,20,辦公商業大樓,商業用,鋼骨鋼筋混凝土造,0810725,226.63,0,0,0,無,無,無,50000,221,,0.0,0,,RPQNMLOJMHIFFBE57CC
苓雅區,建物,高雄市苓雅區四維四路2號9樓5,0.0,其他,,,1020329,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0721213,89.32,0,0,0,無,有,有,10000,112,,0.0,0,,RPQNMLPJMHIFFBE67CC
苓雅區,建物,高雄市苓雅區新光路28巷49號與49-1號1樓+2樓+B1樓,0.0,住,,,1020402,土地0建物1車位0,見其它登記事項,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0670422,113.1,0,0,0,無,無,有,13000,115,,0.0,0,,RPRNMLPJMHIFFBE77CC
前金區,房地(土地+建物),高雄市前金區中華三路190.192號,163.0,商,,,1020330,土地1建物1車位0,一層,4,店面(店鋪),,鋼筋混凝土造,0581031,289.65,0,0,0,無,無,無,70000,242,,0.0,0,,RPPNMLPJMHIFFAE47CC
