鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路236號4樓,27.32,住,,,1020122,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,149.07999999999998,3,2,2,有,有,8376300,56187,,0.0,0,,RPWPMLLLKHIFFAW96CA,101.16,3.32,10.02,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路232號4樓,24.21,住,,,1020122,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,135.07999999999998,3,2,2,有,有,7559400,55962,,0.0,0,,RPXPMLLLKHIFFAW07CA,89.65,5.09,9.7,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路236號5樓,27.32,住,,,1020122,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,149.07999999999998,3,2,2,有,有,8426300,56522,,0.0,0,,RPOQMLLLKHIFFAW88CA,101.16,3.32,10.02,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路232號5樓,24.21,住,,,1020122,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,135.07999999999998,3,2,2,有,有,7604800,56298,,0.0,0,,RPPQMLLLKHIFFAW98CA,89.65,5.09,9.7,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路232號6樓,24.21,住,,,1020122,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,135.07999999999998,3,2,2,有,有,7650100,56634,,0.0,0,,RPQQMLLLKHIFFAW09CA,89.65,5.09,9.7,,
金城鎮,建物,金門縣金城鎮民權路236號7樓,0.0,,,,1020122,土地0建物1車位1,七層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,157.22,3,2,2,有,有,4496000,28597,坡道機械,8.14,0,親友、員工或其他特殊關係間之交易，土地為地主贈與。,RPRQMLLLKHIFFAW56CA,101.16,3.32,10.02,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路232號7樓,24.21,住,,,1020122,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,135.07999999999998,3,2,2,有,有,7695500,56970,,0.0,0,,RPSQMLLLKHIFFAW66CA,89.65,5.09,9.7,,
金城鎮,房地(土地+建物),金門縣金城鎮民權路236號8樓,27.32,住,,,1020122,土地1建物1車位0,八層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,149.07999999999998,3,2,2,有,有,8113500,54424,,0.0,0,,RPPNMLMLKHIFFAW78CA,101.16,3.32,10.02,,
金城鎮,房地(土地+建物)+車位,金門縣金城鎮民權路232號8樓,24.21,住,,,1020122,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,143.22,3,2,2,有,有,6030000,42103,坡道機械,8.14,0,,RPQNMLMLKHIFFAW88CA,89.65,5.09,9.7,,
金城鎮,建物,金門縣金城鎮民權路236號9樓,0.0,,,,1020122,土地0建物1車位1,九層,十層,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,1010725,157.22,3,2,2,有,有,3200000,20354,坡道機械,8.14,0,親友、員工或其他特殊關係間之交易，土地為地主贈與。,RPRNMLMLKHIFFAW98CA,101.16,3.32,10.02,,
