鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
梅山鄉,土地,龍眼林段1-2地號,495.0,,山坡地保育區,農牧用地,1020319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,70000,141,,0.0,0,含地上作物。,RPSNMLMLMHIFFEQ66EA,0.0,0.0,0.0,,
梅山鄉,土地,龍眼林段1-8地號,8463.6,,山坡地保育區,林業用地,1020319,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,142,,0.0,0,交易價格含地上之作物。,RPTNMLMLMHIFFEQ76EA,0.0,0.0,0.0,,
中埔鄉,土地,吳鳳廟段330地號,1753.5,農,,,1020218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9800000,5589,,0.0,0,,RPROMLNJMHIFFDQ98DA,0.0,0.0,0.0,,
中埔鄉,土地,社口段55-14地號,56.5,,山坡地保育區,丙種建築用地,1020130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39550,700,,0.0,0,,RPUOMLNJMHIFFDQ66DA,0.0,0.0,0.0,,
中埔鄉,土地,三層崎段97-57地號,1000.0,,山坡地保育區,農牧用地,1020315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,90,,0.0,0,,RPWOMLNJMHIFFDQ86DA,0.0,0.0,0.0,,
水上鄉,土地,和雲段781地號,1101.03,,鄉村區,乙種建築用地,1020128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15986880,14520,,0.0,0,,RPXNMLMJMHIFFDQ76DA,0.0,0.0,0.0,,
中埔鄉,房地(土地+建物),嘉義縣中埔鄉和興村中華路815巷20號,1002.12,農,,,1020308,土地4建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,0950407,179.28,4,3,3,有,無,6500000,,,0.0,0,,RPQNMLNJMHIFFDQ78DA,171.38,0.0,7.9,,
大林鎮,房地(土地+建物),嘉義縣大林鎮西榮路55號,86.62,住,,,1020319,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0830630,273.09,4,2,3,有,無,6900000,25266,,0.0,0,,RPWNMLNJMHIFFCQ66DA,240.61,24.28,0.0,,
民雄鄉,房地(土地+建物),嘉義縣民雄鄉西安村26鄰進興街132巷15號,95.0,住,,,1020311,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0811030,199.16,4,2,3,有,無,5270000,26461,,0.0,0,,RPOOMLSJMHIFFCQ09DA,199.16,0.0,0.0,,
東石鄉,土地,栗子崙段中洲小段418地號,1033.31,,一般農業區,農牧用地,1020321,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,581,,0.0,0,,RPSNMLSJMHIFFBQ66DA,0.0,0.0,0.0,,
中埔鄉,土地,和溪段177-18地號,100.64,,特定農業區,甲種建築用地,1020301,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2980000,29610,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：102年上地登１字019010號,RPVSMLNLMHIFFDQ27CA,0.0,0.0,0.0,,
