編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLLLKHIFFAM18CA,,225.53,住家用,鋼筋混凝土造,101年8月30日,四層,一層 二層 三層 四層 陽台
RPWNMLLLKHIFFAM38CA,,212.50,住家用,鋼筋混凝土造,101年8月30日,四層,一層 二層 三層 四層 陽台
RPWNMLSJKHIFFAM88CA,19,310.50,住家用,鋼筋混凝土造,83年4月6日,三層,一層 二層 三層
RPSPMLRJKHIFFAM58CA,5,369.95,住家用,鋼筋混凝土造,96年9月28日,四層,一層 二層 三層 四層 陽台 雨遮
RPPNMLMLKHIFFBM87CA,32,77.10,住商用,鋼筋混凝土造,70年5月25日,二層,一層 二層 騎樓
RPQNMLSKKHIFFCM58CA,24,171.10,住商用,鋼筋混凝土造,78年5月11日,二層,一層 二層 騎樓
RPQNMLSJKHIFFCM48CA,25,142.47,住商用,鋼筋混凝土造,77年6月24日,二層,一層 二層 騎樓
RPPNMLSJKHIFFCM38CA,32,273.48,店舖、住宅、人行道,鋼筋混凝土造,69年12月20日,三層,一層 二層 三層 陽台 騎樓
RPPNMLSJKHIFFCM38CA,58,186.13,住商用,磚造,44年3月1日,三層,一層 二層 三層
RPUOMLTKKHIFFCM56CA,7,709.95,農舍,鋼骨造,94年11月4日,三層,一層 二層 三層 陽台
RPRNMLSJKHIFFCM68DA,10,466.09,自用農舍,鋼骨造,92年1月8日,二層,一層 二層 陽台
RPSNMLPJLHIFFCM58DA,19,110.69,集合住宅,鋼筋混凝土造,83年7月8日,十二層,三層 陽台 花台
RPSNMLPJLHIFFCM58DA,19,16.11,避難室兼停車場、樓梯、門廳、騎樓、梯間、機械房、水箱、平台、瞭望台,鋼筋混凝土造,83年7月8日,十二層,
RPPNMLPJLHIFFAM08DA,2,224.00,住家用,鋼筋混凝土造,99年8月13日,四層,一層 二層 三層 四層 陽台
RPTNMLSKKHIFFBM88DA,21,86.06,住家用,鋼筋混凝土造,80年9月20日,十一層,七層 陽台
RPTNMLSKKHIFFBM88DA,21,14.67,梯間、機房、水箱,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLSKKHIFFBM88DA,21,9.42,避難室、梯間、變電室、水箱、機械室,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLSKKHIFFBM88DA,21,12.18,辦公室、停車空間,鋼筋混凝土造,80年9月20日,十一層,
RPTNMLSKKHIFFBM88DA,21,10.19,避難室、梯間、變電室、水箱、機械室,鋼筋混凝土造,80年9月20日,十一層,
RPRNMLPJLHIFFCM48DA,18,207.81,住家用,鋼筋混凝土造,84年2月27日,四層,一層 二層 三層 四層 陽台 屋頂突出物 露台 地下層
RPRNMLPJLHIFFCM48DA,18,39.31,公共設施,鋼筋混凝土造,84年2月27日,,
RPPNMLLLKHIFFDM08DA,6,48.38,農舍,見其他登記事項,96年1月5日,一層,
RPTNMLPLKHIFFCM68CA,22,167.23,住家用,鋼筋混凝土造,79年11月30日,三層,一層 二層 三層 陽台 平台 露台
RPVNMLMLKHIFFCM58CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
RPVNMLMLKHIFFCM58CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
RPVNMLMLKHIFFCM58CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
SPVNMLMLKHIFFCM68CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
SPVNMLMLKHIFFCM68CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
SPVNMLMLKHIFFCM68CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
TPVNMLMLKHIFFCM78CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
TPVNMLMLKHIFFCM78CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
TPVNMLMLKHIFFCM78CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
UPVNMLMLKHIFFCM88CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
UPVNMLMLKHIFFCM88CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
UPVNMLMLKHIFFCM88CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
SQVNMLMLKHIFFCM78CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
SQVNMLMLKHIFFCM78CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
SQVNMLMLKHIFFCM78CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
VPVNMLMLKHIFFCM98CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
VPVNMLMLKHIFFCM98CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
VPVNMLMLKHIFFCM98CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,一層 平台
ZPVNMLMLKHIFFCM76CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
ZPVNMLMLKHIFFCM76CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
ZPVNMLMLKHIFFCM76CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
TQVNMLMLKHIFFCM88CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
TQVNMLMLKHIFFCM88CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
TQVNMLMLKHIFFCM88CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
RQVNMLMLKHIFFCM68CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
RQVNMLMLKHIFFCM68CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
RQVNMLMLKHIFFCM68CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
YPVNMLMLKHIFFCM66CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
YPVNMLMLKHIFFCM66CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
YPVNMLMLKHIFFCM66CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
WPVNMLMLKHIFFCM09CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,二層
WPVNMLMLKHIFFCM09CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,二層
WPVNMLMLKHIFFCM09CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,二層
QQVNMLMLKHIFFCM58CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
QQVNMLMLKHIFFCM58CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
QQVNMLMLKHIFFCM58CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
XPVNMLMLKHIFFCM56CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
XPVNMLMLKHIFFCM56CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
XPVNMLMLKHIFFCM56CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,二層 陽台
YQVNMLMLKHIFFCM76CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
YQVNMLMLKHIFFCM76CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
YQVNMLMLKHIFFCM76CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
UQVNMLMLKHIFFCM98CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
UQVNMLMLKHIFFCM98CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
UQVNMLMLKHIFFCM98CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
VQVNMLMLKHIFFCM09CA,16,.36,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
VQVNMLMLKHIFFCM09CA,16,.36,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
VQVNMLMLKHIFFCM09CA,16,.36,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
WQVNMLMLKHIFFCM56CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
WQVNMLMLKHIFFCM56CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
WQVNMLMLKHIFFCM56CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
XQVNMLMLKHIFFCM66CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
XQVNMLMLKHIFFCM66CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
XQVNMLMLKHIFFCM66CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,三層 陽台
ZQVNMLMLKHIFFCM86CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
ZQVNMLMLKHIFFCM86CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
ZQVNMLMLKHIFFCM86CA,16,8.66,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
QRVNMLMLKHIFFCM68CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
QRVNMLMLKHIFFCM68CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
QRVNMLMLKHIFFCM68CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
ZRVNMLMLKHIFFCM96CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
ZRVNMLMLKHIFFCM96CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
ZRVNMLMLKHIFFCM96CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
TRVNMLMLKHIFFCM98CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
TRVNMLMLKHIFFCM98CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
TRVNMLMLKHIFFCM98CA,16,9.48,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
XRVNMLMLKHIFFCM76CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
XRVNMLMLKHIFFCM76CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
XRVNMLMLKHIFFCM76CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
URVNMLMLKHIFFCM09CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
URVNMLMLKHIFFCM09CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
URVNMLMLKHIFFCM09CA,16,6.34,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
WRVNMLMLKHIFFCM66CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
WRVNMLMLKHIFFCM66CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
WRVNMLMLKHIFFCM66CA,16,9.76,住家用,鋼筋混凝土造,86年5月6日,五層,四層 陽台
RRVNMLMLKHIFFCM78CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
RRVNMLMLKHIFFCM78CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
RRVNMLMLKHIFFCM78CA,16,10.42,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
SRVNMLMLKHIFFCM88CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
SRVNMLMLKHIFFCM88CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
SRVNMLMLKHIFFCM88CA,16,9.56,住家用,鋼筋混凝土造,86年5月6日,五層,五層 陽台
