鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
蘆洲區,土地,中原段30地號,10.28,都市：其他:道路用地,,,1070801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1246959,121300,,0.0,0,包含公共設施保留地之交易。；,RPROMLOKQHNFFGF56CA,0.0,0.0,0.0,,
蘆洲區,房地(土地+建物),新北市蘆洲區民權路１８４巷８號三樓,17.94,住,,,1070803,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820920,58.14,4,2,2,有,無,4500000,77399,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPOMLKKQHNFFGF58CA,48.94,0.0,6.86,,
樹林區,土地,南園段43地號,213.2,,特定農業區,甲種建築用地,1070801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4920000,23077,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQQMLTJQHNFFIF27CA,0.0,0.0,0.0,,
五股區,土地,五股坑段五股坑小段882-29地號,122.0,都市：其他:保護區,,,1070803,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,4508,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPWOMLOKQHNFFBF66DA,0.0,0.0,0.0,,
土城區,土地,運校段50地號,1.62,住,,,1070804,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000,166667,,0.0,0,,TPWQMLOLQHNFFAF96CA,0.0,0.0,0.0,,
土城區,土地,運校段50地號,1.62,住,,,1070806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,270000,166667,,0.0,0,,RPORMLOLQHNFFAF68CA,0.0,0.0,0.0,,
三重區,房地(土地+建物)+車位,新北市三重區五華街９２巷１５號九樓,16.26,住,,,1070802,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060519,134.9,3,2,2,有,有,16800000,126552,升降機械,10.05,1000000,,RPOOMLOJPHOFFGF98EA,76.32,5.99,7.92,,
新店區,房地(土地+建物)+車位,新北市新店區中正路７００巷１８號十五樓,26.97,住,,,1070801,土地1建物1車位1,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890225,160.71,3,2,2,有,有,3832644,23848,坡道平面,0.0,0,二等親親友、員工或其他特殊關係間之交易。；,RPWNMLKKQHNFFCF98EA,82.18,2.16,12.38,,
八里區,土地,龍米段1739地號,18.95,都市：其他:保護區,,,1070803,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,129886,6854,,0.0,0,,RPSOMLNKQHNFFEF56EA,0.0,0.0,0.0,,
