鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
永和區,土地,安樂段208地號,0.94,住,,,1080801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLRJQHOFFHF96EA,0.0,0.0,0.0,,
板橋區,房地(土地+建物),新北市板橋區南雅南路一段３巷４８號,62.0,商,,,1080805,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,,81.9,3,2,1,有,無,16000000,195360,,0.0,0,,RPXNMLKLQHOFFAF88CA,81.9,0.0,0.0,,
新莊區,房地(土地+建物),新北市新莊區中華路一段６３巷２８號七樓,8.88,住,,,1080801,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780626,56.14,3,2,2,有,有,5289000,94194,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPTVMLRJQHOFFBF47EA,42.44,0.0,8.04,,
雙溪區,土地,石段239地號,689.0,,山坡地保育區,農牧用地,1080806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,388888,564,,0.0,0,向政府機關承購之案件。；,RPVNMLSJQHOFFFF27DA,0.0,0.0,0.0,,
淡水區,房地(土地+建物),新北市淡水區民權路６７號二十一樓之５,3.35,住,,,1080802,土地1建物1車位0,二十一層,二十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850203,42.92,1,1,1,有,有,3000000,69897,,0.0,0,,RPQNMLQKQHOFFEF09CA,29.01,0.0,5.34,,
新莊區,土地,新知段89地號,265.05,工,,,1080801,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,66660000,251500,,0.0,0,,RPTOMLSJQHOFFBF76DA,0.0,0.0,0.0,,
瑞芳區,房地(土地+建物),新北市瑞芳區建基路一段５０巷６之２號三樓,70.0,,鄉村區,乙種建築用地,1080801,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0811223,115.61,3,1,2,有,無,2200000,19029,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPQNMLOKQHOFFFF98CA,103.25,0.0,9.91,,
土城區,房地(土地+建物),新北市土城區中央路四段２８１之３號１１樓之三,0.21,住,,,1080701,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950817,1.96,4,2,2,有,無,129000,65816,,0.0,0,持分交易撤銷原申報書序號A1FA10807300188A3FA10808070014,RPTNMLTKQHOFFAF86EA,1.12,0.04,0.1,,
貢寮區,土地,貢寮段內寮小段1222地號,2643.0,,山坡地保育區,農牧用地,1080701,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,660000,250,,0.0,0,,RPPNMLTJPHOFFFF56CA,0.0,0.0,0.0,,
