編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPROMLSJPHOFFAB48CA,3,161.85,本共有部份係依使用執照之建築概要表記載項目有：停車空間、行動不便者電梯、梯廳、梯間、機房、水箱、消防暨發電機房、防空避難室兼停車空間、台電配電室、門廳、管委會使用空間、資源回收室共十二項。,鋼筋混凝土造,104年12月15日,十一層,,持分移轉
RPPNMLNLOHOFFAB77CA,5,96.19,集合住宅,鋼筋混凝土造,103年8月22日,十五層,六層 陽台 雨遮,全筆移轉
RPPNMLNLOHOFFAB77CA,5,54.39,本共有部分係依使用執照之建築概要表記載項目有：停車空間、（梯廳）排煙室、梯間、汙水機房、水箱、電信室、防空避難室兼停車空間、發電機機械室、消防機械室、人行道、垃圾處理室、管委會使用空間、梯廳、車道、機車停車區、戶外安全梯、安全梯、昇降機間、機械室、水錶室、台電配電室、梯間（排煙室）等共２２項,鋼筋混凝土造,103年8月22日,十五層,,持分移轉
RPRNMLKLOHOFFAB67CA,25,166.21,住家用,鋼筋混凝土造,83年6月30日,十四層,五層 陽台 花台,全筆移轉
RPRNMLKLOHOFFAB67CA,25,46.59,共有部份,鋼筋混凝土造,83年6月30日,十四層,,持分移轉
RPPNMLSJPHOFFHB88CA,25,85.30,住家用,鋼筋混凝土造,82年12月13日,七層,七層 陽台 花台,全筆移轉
RPPNMLSJPHOFFHB88CA,25,23.39,共有部份,鋼筋混凝土造,82年12月13日,七層,,持分移轉
RPQOMLSKOHOFFCB58CA,24,107.21,住家用,鋼筋混凝土造,84年10月24日,二十五層,二十層 陽台,全筆移轉
RPQOMLSKOHOFFCB58CA,24,5.97,共有部份,鋼筋混凝土造,84年10月24日,二十五層,,持分移轉
RPQOMLSKOHOFFCB58CA,24,15.90,共有部份,鋼筋混凝土造,84年10月24日,二十五層,,持分移轉
RPQOMLSKOHOFFCB58CA,24,1.52,共有部份,鋼筋混凝土造,84年10月24日,二十五層,,持分移轉
RPQOMLSKOHOFFCB58CA,24,35.51,共有部份,鋼筋混凝土造,84年10月24日,二十五層,,持分移轉
RPVPMLSJPHOFFBB09CA,29,112.90,商業用,鋼筋混凝土造,78年12月27日,七層,一層 平台 騎樓,全筆移轉
RPVPMLSJPHOFFBB09CA,29,17.64,共有部份,鋼筋混凝土造,78年12月27日,七層,,持分移轉
RPVPMLSJPHOFFBB09CA,29,63.99,避難室、停車空間,鋼筋混凝土造,78年12月27日,七層,地下層,持分移轉
RPXNMLTLOHOFFBB66CA,4,70.30,集合住宅,鋼筋混凝土造,104年4月16日,十四層,三層 陽台 雨遮,全筆移轉
RPXNMLTLOHOFFBB66CA,4,34.60,本共有部分之項目有：停車空間、消防機械室、污水機房、發電機室、水箱、樓梯間、排煙室、行動不便電梯、緊急升降機、車道、防空避難室兼停車空間、機械室、電信室、台電配電室、機車停車空間、有頂蓋式開放空間兼騎樓、有頂蓋沿街步道式開放空間、公共服務空間、梯廳、門廳、垃圾集中區、電梯間、水錶室等二十三項。,鋼筋混凝土造,104年4月16日,十四層,,持分移轉
RPXNMLTLOHOFFBB66CA,4,15.65,本共有部分之項目有：梯廳、樓梯間、排煙室、行動不便電梯、緊急升降機等五項,鋼筋混凝土造,104年4月16日,十四層,,持分移轉
