編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLQJJIIFFBB07CA,6,4.39,共有部份,鋼筋混凝土造,96年4月9日,八層,
RPVQMLQJJIIFFBB87CA,7,68.83,住家用,鋼筋混凝土造,95年10月17日,十三層,二層 陽台 雨遮
RPVQMLQJJIIFFBB87CA,7,14.23,共有部份,鋼筋混凝土造,95年10月17日,十三層,
RPVQMLQJJIIFFBB87CA,7,7.70,共有部份,鋼筋混凝土造,95年10月17日,十三層,
RPWQMLQJJIIFFBB97CA,21,98.78,住家用,鋼筋混凝土造,82年1月15日,七層,四層 陽台
RPWQMLQJJIIFFBB97CA,21,41.20,共有部份,鋼筋混凝土造,82年1月15日,七層,
RPPQMLQJJIIFFBB27CA,,148.09,住商用,鋼筋混凝土造,,四層,一層 二層 騎樓 地下層
RPVRMLRJJIIFFBB08CA,21,185.00,住家用,鋼骨混凝土造,81年11月26日,二十五層,五層 陽台 花台
RPVRMLRJJIIFFBB08CA,21,53.59,共有部份,鋼骨混凝土造,81年11月26日,二十五層,
RPWOMLSJJIIFFBB97CA,19,19.16,共有部份,鋼筋混凝土造,83年9月7日,八層,
RPWOMLSJJIIFFBB97CA,19,23.55,住家用,鋼筋混凝土造,83年9月7日,八層,六層 陽台
RPTPMLSJJIIFFBB77CA,3,94.16,住家用,鋼筋混凝土造,99年5月19日,十層,三層 陽台
RPTPMLSJJIIFFBB77CA,3,71.13,本共有部份係依使用執照之建築概要表記載項目有昇降機、梯間、停車空間、消防機房、清水池、污水機房、機車停車位、台電配電室、通道、防空避難室、電信室、緊急發電機室、管理員室、梯廳、車道、機械室、水表機械室、水箱等十八項。,鋼筋混凝土造,99年5月19日,十二層,
RPTPMLSJJIIFFBB77CA,3,12.94,本共有部份係依使用執照之建築概要表記載項目有昇降機、梯間、梯廳等三項。,鋼筋混凝土造,99年5月19日,十二層,
RPPOMLLKJIIFFBB66CA,2,54.47,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、停車空間、電信室、台電配電室、消防機房、樓梯間、梯廳昇降機間、水箱、污水機房、緊急發電機室、管理員室、基地內通路、車道、機械室、水錶箱室、人行道等１７項,鋼筋混凝土造,100年5月23日,九層,
RPPOMLLKJIIFFBB66CA,2,59.03,住家用,鋼筋混凝土造,100年5月23日,九層,四層 陽台 雨遮
RPUQMLMKJIIFFBB47CA,3,40.40,住家用,鋼筋混凝土造,99年9月9日,十七層,十一層 陽台
RPUQMLMKJIIFFBB47CA,3,14.21,本共有部份係依使用執照之建築概要表記載項目有，人行道，管委會管理室，門廳，樓梯間，昇降機間，排煙室，梯廳，公設，透空遮牆，水箱，電梯機房，走廊，車道，外廊等１４項。,鋼筋混凝土造,99年9月9日,十七層,
RPUQMLMKJIIFFBB47CA,3,8.95,本共有部份係依使用執照之建築概要表記載項目有，停車空間，樓梯間，昇降機間，消防機房兼污水機房，排煙室，水箱，機車停車區，防空避難室兼停車空間，車道，台電配電室，緊急發電機室，機房，電信室等１３項。,鋼筋混凝土造,99年9月9日,十七層,
RPRPMLMKJIIFFBB07CA,14,32.20,共有部份,鋼筋混凝土造,89年2月18日,十四層,
RPRPMLMKJIIFFBB07CA,14,61.96,住家用,鋼筋混凝土造,89年2月18日,十四層,一層 陽台
RPVNMLKLJIIFFAB07CA,22,122.49,住家用,鋼筋混凝土造,81年4月7日,六層,六層 陽台 花台
RPVNMLKLJIIFFAB07CA,22,30.53,避難室．梯間．機械室．水塔,鋼筋混凝土造,81年4月7日,七層,
RPVNMLKLJIIFFAB07CA,22,17.62,停車空間．避難室,鋼筋混凝土造,81年4月7日,七層,
RPSOMLOJJIIFFBB17CA,29,87.24,停車空間、人行道、住宅,鋼筋混凝土造,73年9月17日,四層,一層 平台 騎樓
RPSOMLOJJIIFFBB17CA,29,6.61,共有部份,鋼筋混凝土造,73年9月17日,五層,
RPOQMLMKJIIFFBB86CA,33,76.30,住家用,鋼筋混凝土造,69年5月24日,五層,五層
RPTOMLOKJIIFFBB37CA,28,119.86,住家用,加強磚造,74年12月31日,二層,一層 二層 陽台 平台 屋頂突出物 夾層
RPWQMLOKJIIFFBB87CA,34,139.89,住家用,鋼筋混凝土造,68年9月13日,三層,一層 二層 三層 地下層
RPTOMLPKJIIFFBB47CA,,62.26,住家用,鋼筋混凝土造,102年7月25日,二十二層,十七層 陽台 雨遮
RPTOMLPKJIIFFBB47CA,,16.71,本共有部分係依使用執照之建築概要表記載項目有：管委會使用公共設施，垃圾處理室，梯間，梯廳，梯間（排煙室，昇降機間）梯間（梯廳，排煙室，昇降機間），走廊，中繼機械室（中繼水箱），機械室，水箱等１０項,鋼筋混凝土造,102年7月25日,二十二層,
RPTOMLPKJIIFFBB47CA,,13.35,本共有部分係依使用執照之建築概要表記載項目有：停車空間，車道，污水機房，清水池，消防機房，機房，梯間（梯廳，排煙室，昇降機間），防空避難室兼停車空間，發電機室，電信室，台電配電室，防災中心，公共設施等１３項,鋼筋混凝土造,102年7月25日,二十二層,
RPQRMLPKJIIFFBB47CA,1,91.70,住家用,鋼筋混凝土造,102年2月1日,十五層,十一層 陽台 雨遮
RPQRMLPKJIIFFBB47CA,1,49.57,本共有部份係依使用執照之建築概要表記載項目有：防空避難室兼停車空間．車道．消防機械室．蓄水池．梯間（梯廳．排煙室．昇降機間）．停車空間．台電配電室．電信室．發電機室．公共服務空間．頂蓋型開放空間．外廊．垃圾處理室等１３項。,鋼筋混凝土造,102年2月1日,十五層,
RPQRMLPKJIIFFBB47CA,1,20.98,本共有部份係依使用執照之建築概要表記載項目有：梯間（梯廳．排煙室．昇降機間）．梯間（排煙室．昇降機間）．水錶區．梯間．水箱．機械室等６項。,鋼筋混凝土造,102年2月1日,十五層,
RPPOMLTKJIIFFBB47CA,39,186.98,住家用,鋼筋混凝土加強磚造,63年12月14日,三層,一層 二層 三層 電梯樓梯間 地下層
RPUQMLKLJIIFFBB37CA,19,67.92,住家用,鋼筋混凝土造,83年12月10日,十六層,八層 陽台 花台
RPUQMLKLJIIFFBB37CA,19,11.07,共有部份,鋼筋混凝土造,83年12月10日,十六層,
RPUQMLKLJIIFFBB37CA,19,6.09,共有部份,鋼筋混凝土造,83年12月10日,十六層,
RPOPMLLKJIIFFBB66CA,33,92.88,住家用,加強磚造,69年7月16日,二層,一層 二層
