鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
中壢區,土地,芭里段260地號,100.12,,特定農業區,農牧用地,1090726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600750,6000,,0.0,0,,VPQOMLLKQHPFFBH66EA,0.0,0.0,0.0,無,
中壢區,土地,芭里段265地號,144.94,,特定農業區,農牧用地,1090726,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,869670,6000,,0.0,0,,WPQOMLLKQHPFFBH76EA,0.0,0.0,0.0,無,
中壢區,房地(土地+建物),永福路１１１１號三樓,15.77,住,,,1090728,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920602,94.68,3,2,2,有,有,3150000,33270,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRSMLMKQHPFFBH86EA,50.48,0.0,6.56,有,
桃園區,房地(土地+建物)+車位,忠二路１５２號四樓,35.51,住,,,1090712,土地1建物1車位4,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990924,342.96,4,2,3,有,有,26000000,75811,坡道平面,88.96,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLKKQHPFFAH86EA,153.67,14.4,17.19,有,
桃園區,房地(土地+建物),中埔二街２９號六樓,8.27,住,,,1090729,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940425,82.46000000000001,2,2,1,有,有,6123857,74265,,0.0,0,土地增值稅由買方負擔含土地增值稅或其他稅費123857元；,RPXPMLLKQHPFFAH96EA,48.84,1.11,11.9,有,
桃園區,房地(土地+建物)+車位,國鼎一街２７號四樓之２,22.28,住,,,1090711,土地1建物1車位1,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860903,168.45999999999998,3,2,2,有,有,10500000,62329,坡道平面,0.0,1500000,其他增建；,RPTQMLKKQHPFFAH56EA,90.5,0.0,12.46,有,
桃園區,房地(土地+建物)+車位,龍泉六街１９６號十樓,15.68,住,,,1090711,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020607,133.04,2,2,1,有,有,6800000,61202,坡道平面,41.54,1200000,其他增建；,RPRWMLLKQHPFFAH07EA,55.15,2.22,6.73,有,
桃園區,房地(土地+建物)+車位,新埔八街８６號三樓,25.78,住,,,1090702,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081105,168.32,2,1,2,有,無,13220000,97441,坡道平面,52.66,1950000,預售屋、或土地及建物分件登記案件；,RPXTMLMKQHPFFAH47EA,70.63,0.0,8.01,有,
桃園區,房地(土地+建物)+車位,大有路５１５號四樓,19.28,住,,,1090705,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930518,157.26,3,2,2,有,有,10100000,64225,坡道平面,31.62,0,陽台外推；其他增建；,RPVNMLKKQHPFFAH09EA,89.86,0.0,5.39,有,
中壢區,房地(土地+建物)+車位,青商路１２９號十樓,23.0,商,,,1090711,土地1建物1車位2,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030718,222.17000000000002,4,2,2,有,有,16100000,72467,坡道平面,0.0,0,,RPSWMLSLPHPFFBH87DA,108.57,5.25,11.8,有,
