鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
土城區,土地,員和段52地號,272.25,,,,1091013,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37874000,139115,,0.0,0,包含公共設施保留地用地；,RPPTMLMLIIPFFAF38DA,0.0,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新五路二段２４９號,24.27,住,,,1091006,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1090120,135.11,0,0,0,無,有,13380000,107830,坡道平面,29.11,1950000,建物型態為店舖,RPUTMLRLIIPFFBF86DA,63.05,0.0,6.09,有,
新莊區,房地(土地+建物),中和街１５５巷２４弄１１號十六樓,5.74,住,,,1091010,土地1建物1車位0,十六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820528,41.65,1,1,1,有,有,4600000,110444,,0.0,0,其他增建；,RPWNMLRLIIPFFBF09DA,25.79,0.0,2.76,有,
泰山區,土地,南林段476地號,1292.64,住,,,1091014,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,207242508,160325,,0.0,0,,RPPQMLKMIIPFFBF08DA,0.0,0.0,0.0,無,
新店區,房地(土地+建物),中正路６７１號四樓,34.03,住,,,1091015,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690417,119.78,3,2,2,有,無,10100000,84321,,0.0,0,陽台外推；,RPURMLSLIIPFFCF86DA,102.14,0.0,17.64,無,
新店區,房地(土地+建物)+車位,中興路二段１５３號,6.17,住,,,1091003,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),其他,見其他登記事項,1060324,81.96000000000001,0,0,0,無,有,10700000,165052,坡道平面,26.22,1500000,預售屋、或土地及建物分件登記案件；,RPOOMLNLIIPFFCF08DA,36.33,0.0,0.0,有,
三峽區,房地(土地+建物)+車位,學成路３１９號二十七樓,24.7,商,,,1091006,土地1建物1車位2,二十七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010724,276.71000000000004,4,2,2,有,有,23300000,84204,坡道平面,75.28,0,,RPWOMLPKIIPFFIF96DA,128.68,4.33,14.26,有,
三重區,房地(土地+建物)+車位,集賢路１８６號九樓,36.53,住,,,1091015,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050908,222.01,4,2,2,有,有,28500000,128373,升降平面,36.09,0,,RPUQMLQLIIPFFGF96DA,100.74,9.54,11.37,有,
三重區,房地(土地+建物)+車位,五谷王北街４５巷１號四樓,25.03,住,,,1091008,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080606,131.12,2,2,1,有,無,15050000,127409,升降機械,23.2,1300000,,RPUOMLOKIIPFFGF09DA,58.84,6.92,3.5,有,
永和區,土地,長堤段669地號,161.76,都市：其他:道路用地,,,1091015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3410000,21081,,0.0,0,,SPTQMLSLIIPFFHF37EA,0.0,0.0,0.0,無,
