編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLMJNHMFFAF18CA,21,57.92,住家用,鋼筋混凝土造,85年3月22日,七層,七層 陽臺 花台
RPVNMLMJNHMFFAF18CA,21,16.70,共有部分,鋼筋混凝土造,85年3月22日,七層,
RPVNMLMJNHMFFAF18CA,21,4.51,共有部分,鋼筋混凝土造,85年3月22日,七層,
RPTOMLOJNHMFFAF28CA,42,71.54,住家用,加強磚造,63年10月21日,四層,四層
RPTPMLMJNHMFFAF18CA,38,73.07,住家用,鋼筋混凝土造,68年3月27日,五層,三層 陽臺
RPWNMLOJNHMFFAF48CA,39,33.80,住家用,鋼筋混凝土造,67年1月17日,五層,五層 陽臺
RPOQMLSJNHMFFAF38CA,35,83.89,住家用,鋼筋混凝土造,70年12月22日,五層,一層 平台
RPVQMLOJNHMFFAF68CA,31,103.74,住家用,鋼筋混凝土造,75年9月13日,五層,三層 陽臺
RPXPMLMJNHMFFAF58CA,17,101.09,住家用,鋼筋混凝土造,89年8月18日,九層,六層 陽臺
RPXPMLMJNHMFFAF58CA,17,8.42,電樓梯間,鋼筋混凝土造,89年8月18日,九層,
RPXPMLMJNHMFFAF58CA,17,11.44,共有部分,鋼筋混凝土造,89年8月18日,九層,
RPPOMLNJNHMFFAF77CA,,106.48,集合住宅,鋼筋混凝土造,105年10月6日,二十層,六層 陽臺 雨遮
RPPOMLNJNHMFFAF77CA,,27.88,本共有部分項目有：公共服務空間（１，２），陽台，排煙室，梯廳，緊急升降機，一般升降機，甲梯，乙梯，丙梯，安全梯，特別安全梯，消防機房，消防水箱，供管委會使用空間，機械室，梯間，水錶室，電梯機械室，水箱機房，水箱（１，２）等２０項,鋼筋混凝土造,105年10月6日,二十層,
RPPOMLNJNHMFFAF77CA,,50.91,本共有部分項目有：停車空間，機械室（１，２，３），污水機房，消防機房，緊急升降機，一般升降機，丙梯，排煙室，安全梯，水箱，電信機房，發電機室，自行車停車空間，防空避難室兼停車空間，防災中心，台電配電場所，電錶區，垃圾集中場（１，２），垃圾車專用停車位，汽機車坡道等２０項,鋼筋混凝土造,105年10月6日,二十層,
RPRNMLKKNHMFFAF67CA,17,39.53,停車空間兼防空避難室,鋼筋混凝土造,89年9月8日,十層,
RPROMLLKNHMFFAF87CA,14,76.42,住家用,鋼筋混凝土造,92年6月9日,十三層,四層 陽臺 雨遮
RPROMLLKNHMFFAF87CA,14,59.48,共有部分,鋼筋混凝土造,92年6月9日,十三層,
RPRSMLRKNHMFFAF88CA,35,74.16,住家用,鋼筋混凝土造,70年12月21日,五層,三層 陽臺
RPRQMLSJNHMFFAF68CA,35,74.16,住家用,鋼筋混凝土造,70年12月21日,五層,四層 陽臺
RPXOMLMJNHMFFBF58CA,29,111.94,住家用,鋼筋混凝土造,77年7月30日,五層,四層 陽臺
RPXOMLMJNHMFFBF58CA,29,7.97,共有部分,鋼筋混凝土造,77年7月30日,五層,
RPTQMLMJNHMFFBF38CA,2,148.29,集合住宅,鋼筋混凝土造,103年11月14日,十三層,七層 陽臺 雨遮
RPTQMLMJNHMFFBF38CA,2,40.05,本共有部分之項目有電樓梯間、陽台等２項,鋼筋混凝土造,103年11月14日,十三層,
RPTQMLMJNHMFFBF38CA,2,36.87,本共有部分之項目有樓梯間、樓電梯間、汽車升降機空間、管理委員會使用空間、停車空間、台電配電場所、電信室機房、門廊、機電設備空間、蓄水池、消防泵室、發電機室、機械室、水箱等１４項,鋼筋混凝土造,103年11月14日,十三層,
RPSRMLMJNHMFFBF38CA,6,83.86,集合住宅,鋼筋混凝土造,100年9月8日,十四層,十二層 陽臺 雨遮
RPSRMLMJNHMFFBF38CA,6,18.42,本共有部分之項目有樓梯間、水箱、機械室、蓄水池等４項,鋼筋混凝土造,100年9月8日,十四層,
RPSRMLMJNHMFFBF38CA,6,45.25,本共有部分之項目有公共空間、管委會空間、公共服務空間、防空避難室兼停車空間、停車空間、造型牆等６項,鋼筋混凝土造,100年9月8日,十四層,
RPQNMLNJNHMFFBF87CA,2,107.51,集合住宅,鋼筋混凝土造,104年7月6日,十四層,十四層 陽臺 雨遮
RPQNMLNJNHMFFBF87CA,2,74.96,本共有部分之項目有管委會使用空間、門廳、機房、安全梯、梯廳、排煙室、樓電梯間、停車空間、電氣室、台電配電場所、管理員室、電信室、發電機室、蓄水池、消防幫浦室、垃圾儲存空間、裝卸車位、水箱、消防水箱等十九項。,鋼筋混凝土造,104年7月6日,十四層,
RPOOMLOJNHMFFBF87CA,29,115.47,住家用,鋼筋混凝土造,76年9月21日,五層,五層 陽臺
RPPOMLNJNHMFFBF87CA,,211.50,住家用,加強磚造,,三層,一層 二層 三層 騎樓
RPQOMLTJNHMFFBF58CA,5,164.03,集合住宅,鋼筋混凝土造,101年9月4日,七層,七層 陽臺 雨遮
RPQOMLTJNHMFFBF58CA,5,26.20,本共有部分之項目有樓梯間、水箱等２項,鋼筋混凝土造,101年9月4日,七層,
RPQOMLTJNHMFFBF58CA,5,116.56,本共有部分之項目有停車空間、電梯、梯廳、水箱、污水處理室、消防幫浦室、車道、管理員室、污水處理池、電信機房、緊急發電機室、台電配電場所等１２項,鋼筋混凝土造,101年9月4日,七層,
RPPPMLOJNHMFFBF08CA,23,116.49,住家用,鋼筋混凝土造,83年6月16日,七層,四層 陽臺 花台
RPPPMLOJNHMFFBF08CA,23,20.36,共有部分,鋼筋混凝土造,83年6月16日,七層,
RPPPMLOJNHMFFBF08CA,23,6.66,共有部分,鋼筋混凝土造,83年6月16日,七層,
RPPPMLOJNHMFFBF08CA,23,.16,共有部分,鋼筋混凝土造,83年6月16日,七層,
RPPQMLMJNHMFFAF87CA,1,94.01,集合住宅,鋼筋混凝土造,105年2月5日,二十四層,十二層 陽臺 雨遮
