編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUNMLMJNHIGFAB47DA,28,17.33,住家用,鋼筋混凝土造,84年1月13日,十九層,十三層 陽台,全筆移轉
RPUNMLMJNHIGFAB47DA,28,2.89,共有部份,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPUNMLMJNHIGFAB47DA,28,6.68,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPPNMLTJNHIGFCB97EA,7,245.79,集合住宅,鋼骨鋼筋混凝土造,105年1月27日,三十五層,十七層 陽台 雨遮,全筆移轉
RPPNMLTJNHIGFCB97EA,7,52.68,本共有部分係依使用執照之建築物概要表記載項目有：管委會使用空間、門廳、防災中心、有頂蓋開放空間、排煙室、樓梯間、行動不便電梯、緊急升降機電梯、電梯、車道、水箱、梯廳、機械室、消防中繼機房、電梯機房等１５項,鋼骨鋼筋混凝土造,105年1月27日,三十五層,,持分移轉
RPPNMLTJNHIGFCB97EA,7,122.79,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、消防機房、污水機房、機械室、車道、排煙室、樓梯間、行動不便電梯、水箱、緊急升降機電梯、電梯、防空避難室兼停車空間、梯廳、電錶室、台電配電室、發電機房、垃圾集中室、電信室、受電箱室等１９項,鋼骨鋼筋混凝土造,105年1月27日,三十五層,,持分移轉
RPSNMLTJNHIGFIB78DA,32,102.31,集合住宅、梯間,鋼筋混凝土造,79年11月30日,九層,五層 陽台,全筆移轉
RPSNMLTJNHIGFIB78DA,32,18.24,共用部份,鋼筋混凝土造,79年11月30日,九層,,持分移轉
RPPOMLKKNHIGFFB47DA,16,15.75,住家用,鋼筋混凝土造,96年1月9日,五層,三層 陽台,全筆移轉
RPPOMLKKNHIGFFB47DA,16,.49,水箱、梯間,鋼筋混凝土造,96年1月9日,五層,,持分移轉
RPPOMLKKNHIGFFB47DA,16,3.71,住家用,鋼筋混凝土造,96年1月9日,五層,,持分移轉
RPRNMLKKNHIGFFB57DA,3,9.22,集合住宅,鋼筋混凝土造,109年8月25日,五層,二層 陽台,全筆移轉
RPRNMLKKNHIGFFB57DA,3,5.11,梯廳、安全梯、升降機、管道間、走廊、安全梯間、升降機機械室、水箱、停車空間、電信室、消防機室、發電機室、台電配電室、安全梯Ａ,鋼筋混凝土造,109年8月25日,五層,,持分移轉
RPTNMLLKNHIGFBB47DA,27,20.86,住家用,鋼筋混凝土造,85年8月29日,七層,四層 陽台,全筆移轉
RPTNMLLKNHIGFBB47DA,27,9.27,共用部份,鋼筋混凝土造,85年8月29日,七層,,持分移轉
RPPNMLKKNHIGFFB37DA,3,9.22,集合住宅,鋼筋混凝土造,109年8月25日,五層,二層 陽台,全筆移轉
RPPNMLKKNHIGFFB37DA,3,5.11,梯廳、安全梯、升降機、管道間、走廊、安全梯間、升降機機械室、水箱、停車空間、電信室、消防機室、發電機室、台電配電室、安全梯Ａ,鋼筋混凝土造,109年8月25日,五層,,持分移轉
RPQNMLLKNHIGFEB47DA,41,112.93,住商用,鋼筋混凝土加強磚造,71年6月1日,二層,一層 二層 電梯樓梯間,全筆移轉
RPPNMLMKNHIGFGB67DA,20,93.50,集合住宅,鋼筋混凝土造,92年10月30日,六層,二層 陽台 雨遮,全筆移轉
RPPNMLMKNHIGFGB67DA,20,45.63,防空避難室兼停車空間‧樓梯間‧機械室‧水箱‧梯間,鋼筋混凝土造,92年10月30日,六層,,持分移轉
RPQNMLRJNHIGFFB08DA,1,159.88,住宅、停車空間、樓梯間,鋼筋混凝土造,111年6月7日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLRJNHIGFFB08DA,1,.21,電信室,鋼筋混凝土造,111年6月7日,一層,,持分移轉
RPROMLLKNHIGFAB27DA,29,10.09,共有部份,鋼筋混凝土造,83年6月25日,十二層,,持分移轉
RPROMLLKNHIGFAB27DA,29,26.48,住家用,鋼筋混凝土造,83年6月25日,十二層,十層 陽台,全筆移轉
RPRNMLLKNHIGFJB08DA,24,7.03,防空避難室兼停車空間、梯間、機械室、水箱,鋼筋混凝土造,88年9月9日,十層,,持分移轉
RPRNMLLKNHIGFJB08DA,24,12.29,住家用,鋼筋混凝土造,88年9月9日,十層,八層 陽台,全筆移轉
RPPNMLNKNHIGFEB57DA,3,163.47,住宅,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層,全筆移轉
RPPNMLPKNHIGFCB57DA,29,27.69,住家用,鋼筋混凝土造,83年9月8日,十三層,三層 陽台,全筆移轉
RPQNMLPKNHIGFDB77DA,42,14.82,住家用,加強磚造,70年7月12日,二層,一層 二層 見其他登記事項,持分移轉
RPPNMLPKNHIGFCB57DA,29,15.88,共有部份,鋼筋混凝土造,83年9月8日,十三層,,持分移轉
RPRPMLPJNHIGFBB77DA,28,27.72,住家用,鋼筋混凝土造,83年12月14日,十六層,七層 陽台,全筆移轉
RPRPMLPJNHIGFBB77DA,28,10.55,共用部份,鋼筋混凝土造,83年12月14日,十七層,,持分移轉
RPUOMLOJNHIGFBB87DA,33,120.32,商業用,鋼筋混凝土造,78年12月18日,五層,一層 平台 騎樓 地下層,全筆移轉
RPUOMLOJNHIGFBB87DA,33,64.13,住家用,鋼筋混凝土造,78年12月18日,五層,二層 陽台,全筆移轉
RPUOMLOJNHIGFBB87DA,33,64.13,住家用,鋼筋混凝土造,78年12月18日,五層,三層 陽台,全筆移轉
RPPNMLMKNHIGFCB37EA,30,11.42,共有部份,鋼筋混凝土造,81年11月26日,六層,,持分移轉
RPUOMLOJNHIGFBB87DA,33,64.13,住家用,鋼筋混凝土造,78年12月18日,五層,四層 陽台,全筆移轉
RPPNMLMKNHIGFCB37EA,30,37.91,住家用,鋼筋混凝土造,81年11月26日,六層,四層 陽台,全筆移轉
RPUOMLOJNHIGFBB87DA,33,64.13,住家用,鋼筋混凝土造,78年12月18日,五層,五層 陽台,全筆移轉
RPUOMLOJNHIGFBB87DA,33,2.75,共用部份,鋼筋混凝土造,78年12月18日,五層,,持分移轉
RPUOMLOJNHIGFBB87DA,33,2.75,共用部份,鋼筋混凝土造,78年12月18日,五層,,持分移轉
RPUOMLOJNHIGFBB87DA,33,2.75,共用部份,鋼筋混凝土造,78年12月18日,五層,,持分移轉
RPUOMLOJNHIGFBB87DA,33,2.75,共用部份,鋼筋混凝土造,78年12月18日,五層,,持分移轉
RPUOMLOJNHIGFBB87DA,33,2.75,共用部份,鋼筋混凝土造,78年12月18日,五層,,持分移轉
RPPNMLKKNHIGFCB07DA,9,56.51,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、停車空間、台電配電室、梯間、電信室、消防機房、機車昇降機、水箱、門廳、車道、垃圾集中處、電錶室、緊急發電機室、梯廳、樓梯間、機車停車場、防災中心、管委會使用空間、中繼水箱、機械室、戲水池、外廊、專用出入口緩衝空間、排煙室、走道等２５項。,鋼骨鋼筋混凝土造,102年12月12日,二十五層,,持分移轉
RPPNMLKKNHIGFCB07DA,9,116.35,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、停車空間、台電配電室、梯間、電信室、消防機房、機車昇降機、水箱、門廳、車道、垃圾集中處、電錶室、緊急發電機室、梯廳、樓梯間、機車停車場、防災中心、管委會使用空間、中繼水箱、機械室、戲水池、外廊、專用出入口緩衝空間、排煙室、走道等２５項。,鋼骨鋼筋混凝土造,102年12月12日,二十五層,,持分移轉
RPWNMLMKNHIGFBB87DA,36,151.61,住家用,鋼筋混凝土造,76年4月28日,三層,一層 二層 三層 陽台 平台 屋頂突出物,全筆移轉
RPQNMLRKNHIGFEB08DA,26,181.55,農舍,加強磚造,86年9月9日,二層,一層 二層 陽台,全筆移轉
RPUNMLRJNHIGFBB08DA,31,25.59,住家用,鋼筋混凝土造,81年4月29日,七層,七層 陽台 花台,全筆移轉
RPUNMLRJNHIGFBB08DA,31,4.42,共用部份,鋼筋混凝土造,81年4月29日,七層,,持分移轉
RPROMLPKNHIGFCB87DA,29,92.90,店舖、辦公室,鋼筋混凝土造,83年7月7日,十三層,一層 二層 陽台,全筆移轉
RPROMLPKNHIGFCB87DA,29,3.74,共有部份,鋼筋混凝土造,83年7月7日,十三層,,持分移轉
RPROMLPKNHIGFCB87DA,29,16.99,共有部份,鋼筋混凝土造,83年7月7日,十三層,,持分移轉
RPPNMLNKNHIGFAB17DA,26,24.38,住家用,鋼骨造,86年1月31日,二十八層,二十五層 陽台,全筆移轉
RPPNMLNKNHIGFAB17DA,26,1.17,共同使用,鋼骨造,86年1月31日,二十八層,,持分移轉
RPPNMLNKNHIGFAB17DA,26,7.45,公共設施,鋼骨造,86年1月31日,二十八層,,持分移轉
RPPNMLNKNHIGFAB17DA,26,4.55,共有部份,鋼骨造,86年1月31日,二十八層,,持分移轉
RPTNMLQKNHIGFHB58DA,29,62.77,住家用,鋼筋混凝土造,83年5月20日,七層,一層 平台,全筆移轉
RPTNMLQKNHIGFHB58DA,29,21.19,共有部份,鋼筋混凝土造,83年5月20日,七層,,持分移轉
RPQPMLKKNHIGFAB17DA,28,19.23,住家用,鋼筋混凝土造,84年1月13日,十九層,十層 陽台,全筆移轉
RPQPMLKKNHIGFAB17DA,28,3.22,共有部份,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPQPMLKKNHIGFAB17DA,28,8.36,梯間．水箱．機械室,鋼筋混凝土造,84年1月13日,十九層,,持分移轉
RPOOMLQKNHIGFCB67DA,24,378.74,辦公室,鋼筋混凝土造,88年2月6日,十四層,十二層 陽台 雨遮,全筆移轉
RPQOMLSJNHIGFCB97DA,28,51.87,住家用,鋼筋混凝土造,84年6月23日,十二層,八層 陽台 花台,全筆移轉
RPOOMLQKNHIGFCB67DA,24,267.74,共用部份,鋼筋混凝土造,88年2月6日,十四層,,持分移轉
RPQOMLSJNHIGFCB97DA,28,13.08,共同使用,鋼筋混凝土造,84年6月23日,十二層,,持分移轉
RPQOMLSJNHIGFCB97DA,28,3.56,共同使用,鋼筋混凝土造,84年6月23日,十二層,,持分移轉
RPQOMLSJNHIGFCB97DA,28,3.11,共同使用,鋼筋混凝土造,84年6月23日,十二層,,持分移轉
RPRPMLLJNHIGFBB37DA,3,86.84,集合住宅,鋼筋混凝土造,109年8月20日,十五層,十一層 陽台 雨遮,全筆移轉
RPRPMLLJNHIGFBB37DA,3,66.37,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間，樓梯間，昇降機間，水箱，消防機房，排煙室，雨水機房，停車空間，梯廳，電信室，台電配電室，電錶室，車道，機械室，門廳，頂蓋型開放空間，走廊，水錶箱室，公共服務空間，資源回收中心，電梯機房，發電機房等２２項,鋼筋混凝土造,109年8月20日,十五層,,持分移轉
RPRNMLRKNHIGFBB87DA,32,35.93,避難室、停車空間,鋼筋混凝土造,80年1月19日,十三層,地下層,持分移轉
RPRNMLRKNHIGFBB87DA,32,123.33,住家用,鋼筋混凝土造,80年1月19日,十三層,九層 陽台,全筆移轉
RPRNMLRKNHIGFBB87DA,32,3.06,共用部份,鋼筋混凝土造,80年1月19日,十三層,,持分移轉
RPRNMLRKNHIGFBB87DA,32,15.44,共用部份,鋼筋混凝土造,80年1月19日,十三層,,持分移轉
RPPNMLRKNHIGFEB97DA,26,181.55,農舍,加強磚造,86年9月9日,二層,一層 二層 陽台,全筆移轉
RPROMLQKNHIGFBB87DA,32,10.04,避難室、停車空間,鋼筋混凝土造,80年1月4日,十層,地下層,持分移轉
RPOOMLMKNHIGFJB97DA,29,28.10,集合住宅,鋼筋混凝土造,82年12月16日,十二層,八層 陽台 花台,全筆移轉
RPOOMLMKNHIGFJB97DA,29,7.01,人行道、梯間、避難室、水箱、停車空間、機械室、辦公室、走廊,鋼筋混凝土造,82年12月16日,十二層,,持分移轉
RPPPMLQKNHIGFAB67DA,34,.59,人行道，店房,鋼筋混凝土造,78年5月15日,十二層,一層 騎樓,持分移轉
RPPPMLQKNHIGFAB67DA,34,3.72,店房，辦公室，人行道,鋼筋混凝土造,78年5月15日,十二層,一層 二層 陽台 平台 騎樓 花台,持分移轉
RPPPMLQKNHIGFAB67DA,34,10.17,停車空間．避難室,鋼筋混凝土造,78年5月15日,十二層,地下層,持分移轉
RPPPMLQKNHIGFAB67DA,34,8.23,人行道，梯間，電梯，走道，避雷針，水箱,鋼筋混凝土造,78年5月15日,十二層,,持分移轉
RPPPMLQKNHIGFAB67DA,34,30.60,住家用,鋼筋混凝土造,78年5月15日,十二層,十二層 陽台,全筆移轉
RPTNMLRKNHIGFBB18EA,29,90.43,共有部份,鋼筋混凝土造,83年6月30日,八層,,持分移轉
RPQOMLLJNHIGFFB57DA,11,66.03,住家用,鋼筋混凝土造,101年3月12日,九層,九層 陽台 雨遮,全筆移轉
RPQOMLLJNHIGFFB57DA,11,39.70,防空避難室兼停車空間、車道、安全梯電梯間〔昇降機間〕、机械室、蓄水池、管理員室、台電配電室、梯廳、電信室、門廊、外廊、管委會使用、空間〔社區活動中心〕,鋼筋混凝土造,101年3月12日,九層,,持分移轉
RPQOMLLJNHIGFFB57DA,11,14.38,安全梯〔昇降機間〕、機械室、樓梯間、水箱,鋼筋混凝土造,101年3月12日,九層,,持分移轉
RPTNMLLJNHIGFAB27DA,56,83.07,住家用,見其他登記事項,56年3月10日,二層,一層 二層 騎樓,全筆移轉
RPTNMLKKNHIGFDB57DA,29,136.04,住家用,鋼筋混凝土造,83年6月18日,六層,五層 陽台,全筆移轉
RPTNMLKKNHIGFDB57DA,29,16.74,停車空間,鋼筋混凝土造,83年6月18日,六層,,持分移轉
RPTNMLKKNHIGFDB57DA,29,18.13,共有部份,鋼筋混凝土造,83年6月18日,六層,,持分移轉
RPUOMLQKNHIGFIB88DA,28,14.36,共用部份,鋼筋混凝土造,84年10月27日,十層,,持分移轉
RPUOMLQKNHIGFIB88DA,28,85.87,集合住宅,鋼筋混凝土造,84年10月27日,十層,十層 陽台 露台,全筆移轉
RPURMLTJNHIGFBB68DA,28,4.89,共有部份,鋼筋混凝土造,84年6月26日,二十四層,,持分移轉
RPURMLTJNHIGFBB68DA,28,3.70,共有部份,鋼筋混凝土造,84年6月26日,二十四層,,持分移轉
RPURMLTJNHIGFBB68DA,28,.00,共有部份,鋼筋混凝土造,84年6月26日,二十四層,,
RPPNMLPKNHIGFAB37DA,54,80.64,住家用,鋼筋混凝土造,58年4月15日,十層,八層,全筆移轉
