鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿復興南路一段３７６巷９９弄１８號四樓之二,44.58,住,鄉村區,乙種建築用地,1020710,土地1建物1車位1,四層，五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831230,150.3,3,2,3,有,無,1800000,11976,坡道平面,0.0,0,,RPWNMLKMPHIFFAT96CA,102.35,0.0,12.63,,
屏東市,房地(土地+建物),屏東縣屏東巿廣東路９５４巷１５弄１２號,85.0,住,,,1020628,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740624,116.85,4,2,2,有,無,3100000,26530,,0.0,0,,RPXNMLKMPHIFFAT07CA,100.4,16.45,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿棒球路１０６巷１１號三樓之二,24.96,住,,,1020621,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820415,108.69,3,1,2,有,無,2180000,20057,,0.0,0,,RPROMLLMPHIFFAT66CA,73.6,0.0,7.12,,
屏東市,房地(土地+建物),屏東縣屏東巿興豐路６７號二樓之一,20.65,住,,,1020718,土地2建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0820407,117.41999999999999,3,2,2,有,無,2300000,19588,,0.0,0,,RPPPMLLMPHIFFAT56CA,75.76,1.0,6.84,,
屏東市,土地,花園段373地號,284.49,住,,,1020712,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6950000,24430,,0.0,0,,RPSNMLLMPHIFFAT66CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿博愛路３５１號七樓之二,59.46,住,,,1020722,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0830427,324.07,0,0,0,無,無,5900000,18206,,0.0,0,,RPUNMLLMPHIFFAT86CA,0.0,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿復興路４６０號,120.0,住,,,1020718,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0760407,193.25,3,3,3,有,無,7460000,38603,,0.0,0,,RPWNMLLMPHIFFAT07CA,188.4,4.85,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿建興南路６５巷２２號,86.0,住,,,1020611,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0711230,145.62,3,2,2,有,無,3300000,22662,,0.0,0,,RPUNMLLJQHIFFAT66CA,145.62,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿豐華街２１號三樓之二,26.67,住,,,1020718,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840120,129.48000000000002,3,2,2,有,無,2600000,20080,,0.0,0,,RPTOMLPJQHIFFAT07CA,85.35,0.0,12.3,,
屏東市,房地(土地+建物),屏東縣屏東巿武順街７４號,84.0,住,,,1020712,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0810116,184.23,3,2,4,有,無,5000000,27140,,0.0,0,,RPRNMLQJQHIFFAT86CA,184.23,0.0,0.0,,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿華盛街３３號六樓之四,51.8,住,,,1020710,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930909,205.76999999999998,4,2,2,有,有,4000000,19439,坡道平面,0.0,0,,RPPNMLOKQHIFFAT56CA,117.73,0.0,12.25,,
長治鄉,房地(土地+建物),屏東縣長治鄉瑞光路一段７３３號,76.0,住,,,1020715,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0931110,189.48,4,2,3,有,無,8200000,43276,,0.0,0,,RPPOMLTJQHIFFAT07CA,150.36,16.44,22.68,,
屏東市,房地(土地+建物),屏東縣屏東巿武愛街１２１號,69.0,住,,,1020706,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0721208,76.76,4,2,3,有,無,4000000,52110,,0.0,0,,RPQPMLRJQHIFFAT07CA,76.76,0.0,0.0,,
屏東市,房地(土地+建物),屏東縣屏東巿大武路２４７號,77.0,住,,,1020712,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0930705,219.84,6,2,4,有,無,7600000,34571,,0.0,0,,RPPOMLRJQHIFFAT86CA,207.83,0.0,12.01,,
屏東市,房地(土地+建物)+車位,屏東縣屏東巿華盛街３３號四樓之一,45.61,住,,,1020716,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930909,181.01,3,2,2,有,有,2600000,14364,坡道平面,0.0,0,,RPQOMLRJQHIFFAT96CA,102.59,0.0,11.69,,
屏東市,房地(土地+建物),屏東縣屏東巿民富街６巷３６號二樓之二,27.24,住,,,1020619,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830629,122.99,3,2,2,有,有,2200000,17888,,0.0,0,,RPROMLLLQHIFFAT66CA,83.03,0.0,9.46,,
屏東市,房地(土地+建物),屏東縣屏東巿仁德路１０之１號,79.0,住,,,1020625,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土加強磚造,0631220,232.8,7,2,3,有,無,4000000,17182,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWOMLQJQHIFFAT47CA,218.8,14.0,0.0,,
里港鄉,土地,塔樓段457-3地號,2432.0,農,一般農業區,農牧用地,1020718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2918400,1200,,0.0,0,,RPTNMLMJQHIFFBT76CA,0.0,0.0,0.0,,
