編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQPMLRJNHIFFBB87CC,5,77.15,人行道、店舖、停車空間、住宅,鋼筋混凝土造,97年6月27日,五層,
RPTPMLRJNHIFFBB18CC,16,252.75,店舖、住宅、水塔,鋼筋混凝土造,86年6月28日,五層,
RPVVMLRJNHIFFBB98CC,13,248.23,辦公室,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPSVMLRJNHIFFBB68CC,13,170.35,辦公室,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPTVMLRJNHIFFBB78CC,13,242.05,辦公室,鋼骨鋼筋混凝土造,89年6月3日,二十八層,
RPQPMLSJNHIFFGL86CC,20,106.87,店舖、集合住宅,鋼筋混凝土造,82年1月4日,七層,
RPWVMLRJNHIFFCB56CC,17,105.56,辦公室,鋼筋混凝土造,85年9月3日,十五層,
RPTRMLRJNHIFFCB48CC,6,38.91,住家用,鋼筋混凝土造,95年11月24日,十四層,
RPTPMLSJNHIFFGL17CC,33,48.62,住商用,加強磚造,69年2月13日,二層,
RPQRMLRJNHIFFCB18CC,40,40.35,住家用,磚造,62年5月20日,一層,
RPPQMLOJNHIFFCB67CC,18,182.24,住家用,鋼筋混凝土造,83年12月6日,十六層,
RPPNMLSJNHIFFHL66CC,19,146.95,集合住宅,鋼筋混凝土造,83年6月24日,十三層,
RPQNMLSJNHIFFHL76CC,18,123.49,集合住宅,鋼筋混凝土造,84年1月23日,八層,
RPSPMLTJNHIFFAB18CC,9,383.47,辦公室,鋼骨造,93年3月18日,十四層,
RPRRMLTJNHIFFAB28CC,23,339.50,商業用,見其他登記事項,79年9月26日,三十二層,
RPQQMLTJNHIFFCB28CC,3,296.53,辦公室,鋼骨造,99年6月4日,三十八層,
RPQQMLTJNHIFFCB28CC,3,378.94,辦公室,鋼骨造,99年6月4日,三十八層,
RPSQMLTJNHIFFCB48CC,21,167.93,辦公室,鋼骨造,81年7月1日,二十八層,
RPTRMLTJNHIFFCB68CC,21,226.94,辦公室,鋼骨造　,81年7月1日,二十八層,
RPWRMLTJNHIFFCB98CC,8,87.07,住家用,ＲＣ造,93年12月6日,十四層,
RPWNMLRJNHIFFAL56CC,52,92.43,商業用,加強磚造,50年1月15日,四層,
RPPPMLQJNHIFFAL58CC,17,136.06,住家用,鋼筋混凝土造,85年4月27日,九層,
RPUOMLTJNHIFFBB38CC,22,200.60,商業用,鋼筋混凝土造,80年1月28日,十二層,
RPUOMLTJNHIFFBB38CC,22,8.82,商業用,鋼筋混凝土造,80年1月28日,十二層,
RPUOMLTJNHIFFBB38CC,22,21.67,商業用,鋼筋混凝土造,80年1月28日,十二層,
RPOSMLTJNHIFFCB28CC,13,758.05,辦公事務所,鋼筋混凝土造,88年12月30日,十三層,
RPPSMLTJNHIFFCB38CC,16,125.96,住家用,鋼筋混凝土造,86年10月20日,十四層,
RPTNMLRJNHIFFFL76CC,6,162.55,店舖、住宅、人行道、停車空間,鋼筋混凝土造,96年4月2日,四層,
RPSNMLTJNHIFFFL86CC,19,120.54,住家用,鋼筋混凝土造,83年8月12日,十四層,
RPSNMLTJNHIFFFL86CC,19,23.31,共有部份,鋼筋混凝土造,83年8月12日,十四層,
RPRNMLRJNHIFFFL56CC,6,58.19,店舖、住宅、人行道、停車空間,鋼筋混凝土造,96年4月2日,四層,
RPSTMLSJNHIFFCB78DC,7,80.30,住家用,鋼筋混凝土造,95年8月16日,二十二層,
RPSTMLSJNHIFFCB78DC,7,31.31,共用,鋼筋混凝土造,95年8月16日,二十二層,
RPOQMLKKNHIFFBB17CC,21,264.40,商業用,鋼骨混凝土造,81年1月28日,二十四層,
RPXPMLKKNHIFFBB97CC,22,274.88,商業用,鋼筋混凝土造,79年12月18日,十三層,
RPRTMLTJNHIFFBB58CC,1,78.50,店舖,鋼筋混凝土造,101年1月20日,四層,
RPROMLKKNHIFFBB27CC,15,198.61,店舖、辦公室、住宅、樓梯間,鋼筋混凝土造,87年8月7日,五層,
RPUTMLTJNHIFFBB88CC,21,171.63,住家用,鋼筋混凝土造,80年12月7日,十六層,
RPSTMLTJNHIFFBB68CC,25,18.14,住商用,鋼筋混凝土造,77年3月3日,四層,
RPPPMLKKNHIFFBB27DC,11,62.16,住家用,鋼筋混凝土造,91年3月22日,十四層,
RPXOMLKKNHIFFBB97DC,35,106.09,住商用,鋼筋混凝土造,66年11月24日,四層,
RPPNMLLKNHIFFCB17CC,21,824.61,辦公室、人行道,鋼骨造,80年11月25日,十二層,
RPPNMLLKNHIFFCB17CC,21,824.61,店舖,鋼骨造,80年11月25日,十二層,
RPXNMLKKNHIFFFL56CC,25,77.61,工業用,鋼造,77年7月26日,一層,
RPPNMLMKNHIFFBB17CC,20,86.40,住家用,鋼筋混凝土造,82年5月13日,八層,
RPPNMLMKNHIFFBB17CC,20,32.49,共有部份,鋼筋混凝土造,82年5月13日,八層,
RPVNMLNKNHIFFFL66CC,19,225.23,人行道　店舖　住宅,鋼筋混凝土造,83年7月23日,四層,
RPRNMLMKNHIFFGL88CC,18,79.99,集合住宅,鋼筋混凝土造,83年10月11日,七層,
RPSNMLMKNHIFFGL98CC,33,48.62,住商用,加強磚造,69年2月13日,二層,
RPQOMLNKNHIFFHL56DC,33,68.60,住家用,加強磚造,69年9月20日,二層,
RPROMLNKNHIFFBB57CC,1,71.24,住家用,鋼筋混凝土造,101年8月14日,十四層,
RPROMLNKNHIFFBB57CC,1,18.57,本共有部份係依使用執照之建築概要表記載項目有，公共服務空間．門廳．梯間．昇降機間．梯間兼排煙室．水箱．車道．停車空間．防空避難室兼停車空間．外廊．消防機房．污水機房．台電配電室．緊急發電機室．電信室．機房等１６項。,鋼筋混凝土造,101年8月14日,十四層,
RPROMLNKNHIFFBB57CC,1,15.42,本共有部份係依使用執照之建築概要表記載項目有，梯間．昇降機間．梯間兼排煙室．水箱．電梯機房．門廳等６項。,鋼筋混凝土造,101年8月14日,十四層,
RPXPMLKKNHIFFAB87CC,19,79.19,住家用,鋼筋混凝土造,83年8月25日,十六層,
