鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
汐止區,房地(土地+建物),新北市汐止區大同路三段609號13樓之6,1525.38,住,,,1020701,土地1建物1車位0,十三層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880201,46.11,1,1,1,有,有,有,8000,173,,0.0,0,,RPPOMLPLPHIFFDF48CC
汐止區,建物,新北市汐止區新台五路一段77號4樓之5,19.63,工,,,1020709,土地0建物1車位0,四層,21,廠辦,工商用,鋼造,0830330,299.74,0,0,0,有,有,無,45000,150,,0.0,0,,RPQPMLQLPHIFFDF78CC
汐止區,建物,新北市汐止區新台五路一段106號11樓,49.64,工,,,1020710,土地0建物1車位0,十一層,26,廠辦,工業用,鋼造,0831222,702.12,0,0,0,有,有,無,95576,136,,0.0,0,,RPTPMLQLPHIFFDF09CC
汐止區,建物,新北市汐止區大同路一段380號8樓,0.0,工,,,1020720,土地0建物1車位0,八層,10,廠辦,工業用,鋼筋混凝土造,0801111,186.32,0,0,0,無,有,無,28500,153,,0.0,0,,RPURMLQLPHIFFDF76CC
新莊區,房地(土地+建物),新北市新莊區自強街37巷14弄2號4樓,15.87,住,,,1020630,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0650210,61.32,2,1,1,有,無,無,8500,139,,0.0,0,,RPPPMLQLPHIFFBF48CC
新莊區,房地(土地+建物),新北市新莊區思源路141號,13.63,住,,,1020719,土地1建物1車位0,一層,13,店面(店鋪),商業用,鋼筋混凝土造,0900111,91.61,0,0,0,無,有,無,43000,469,,0.0,0,,RPURMLQLPHIFFBF56CC
新莊區,建物,新北市新莊區幸福路622號,0.0,住,,,1020619,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土造,0780728,131.85,0,0,0,無,有,無,140000,1062,,0.0,0,,RPVSMLQLPHIFFBF76CC
新莊區,房地(土地+建物),新北市新莊區思源路139號,19.11,住,,,1020719,土地1建物1車位0,一層,13,店面(店鋪),商業用,鋼筋混凝土造,0900111,119.47,0,0,0,無,有,無,57000,477,,0.0,0,,RPRTMLQLPHIFFBF09CC
五股區,建物,新北市五股區五權七路60號B1F、1F、2F,0.0,其他,工業區,丁種建築用地,1020719,土地0建物1車位0,見其他登記事項,4,工廠,見其他登記事項,鋼筋混凝土造,0800809,1880.2,0,0,0,無,無,無,360000,,,0.0,0,僅分租B1F的1/2,RPOONLQLPHIFFBF38CC
林口區,房地(土地+建物)+車位,新北市林口區公園路177號9樓之4,14.28,住,,,1020722,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860531,100.35,2,1,1,有,有,有,13000,130,坡道平面,34.42,0,,RPSONLQLPHIFFBF78CC
林口區,房地(土地+建物)+車位,新北市林口區文化北路一段388之2號,34.92,住,,,1020718,土地1建物1車位2,一層,13,店面(店鋪),見其他登記事項,鋼筋混凝土造,0990531,174.53,0,0,1,無,無,無,30000,172,坡道平面,53.77,0,,RPVONLQLPHIFFBF09CC
淡水區,建物,新北市淡水區學府路189號4F06室,0.0,,,,1020714,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691119,81.6,0,0,0,無,無,有,4700,58,,0.0,0,,RPVPMLQLPHIFFEF76CC
