鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北屯區,房地(土地+建物),台中市北屯區梅川東路四段３４號,89.0,住,,,1020408,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0730316,215.45,4,3,3,有,無,14400000,66837,,0.0,0,含增建或未登記建物。,RPOOMLRLPHIFFBB77CA,191.86,7.05,16.54,,
北屯區,房地(土地+建物),台中市北屯區文心路四段528號9樓之9,8.94,商,,,1020615,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0970130,80.17,2,1,1,有,有,4100000,51141,,0.0,0,,RPWNMLQLPHIFFBB38CA,42.42,5.55,5.87,,
北區,房地(土地+建物),台中市北區青島西街３４巷１號,64.93,住,,,1020617,土地1建物1車位0,一層，二層，騎樓,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0730109,164.61,3,2,3,有,無,9700000,58927,,0.0,0,,RPSRMLQLPHIFFBB38CA,146.7,5.32,12.59,,
南屯區,房地(土地+建物)+車位,台中市南屯區大業路５８２號九樓之７,18.03,住,,,1020613,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940318,188.38,3,2,2,有,有,15200000,80688,坡道平面,0.0,0,,RPQOMLQKPHIFFCB87CA,102.85,4.24,10.76,,
南屯區,房地(土地+建物),台中市南屯區向上路三段６７號十三樓之６,2.49,住,,,1020628,土地1建物1車位0,十三層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840112,30.5,1,0,1,有,有,1580000,51803,,0.0,0,,RPRNMLQKPHIFFCB87CA,19.66,0.0,0.0,,
西屯區,房地(土地+建物),台中市西屯區四川路８７巷８２號二樓之８,4.93,住,,,1020617,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,35.78,1,1,1,有,有,1500000,41923,,0.0,0,,RPWPMLQKPHIFFCB58CA,20.91,0.0,2.73,,
西屯區,房地(土地+建物),台中市西屯區西屯路三段３９號,44.62,住,,,1020612,土地4建物2車位0,一層，騎樓，地下一層,十二層,店面(店鋪),商業用,鋼筋混凝土造,0790328,437.86,2,2,1,有,無,37880000,86512,,0.0,0,,RPTRMLQKPHIFFCB48CA,367.13,4.51,6.35,,
西屯區,土地,福和段293地號,418.63,住,,,1020506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46700000,111554,,0.0,0,,RPQPMLRKPHIFFCB08CA,0.0,0.0,0.0,,
西屯區,房地(土地+建物)+車位,台中市西屯區福瑞里福瑞街６１號３樓之１,13.03,住,,,1020603,土地2建物2車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830825,141.03,3,2,2,有,有,3150000,22336,坡道機械,0.0,0,,RPURMLRKPHIFFCB68CA,75.15,0.0,11.28,,
西屯區,房地(土地+建物)+車位,台中市西屯區惠來里市政路 500號11樓之6,15.83,其他,,,1020627,土地1建物1車位3,十一層,二十九層,辦公商業大樓,見其他登記事項,鋼骨鋼筋混凝土造,1011219,299.04999999999995,0,0,0,無,有,22570000,75472,坡道機械,0.0,0,,RPRRMLRKPHIFFCB38CA,140.0,8.25,11.13,,
