鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
頭份市,房地(土地+建物),苗栗縣頭份鎮東庄里１８鄰東民三街１３號,152.25,工,,,1020529,土地2建物1車位0,三層，見其他登記事項，一層，二層,三層,店面(店鋪),見其他登記事項,見其他登記事項,1000131,279.63,3,2,3,有,無,17980000,64299,,0.0,0,,RPWNMLQLOHIFFFK96CA,0.0,0.0,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份鎮上興里１７鄰永愛街６４巷３１號,82.39,其他,山坡地保育區,丙種建築用地,1020421,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860827,141.71,4,2,3,有,無,2650000,18700,,0.0,0,,RPUOMLLJPHIFFFK88CA,118.54,23.17,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份鎮上興里17鄰永愛街19號,89.63,其他,山坡地保育區,丙種建築用地,1020524,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860827,169.95,4,2,3,有,無,3480000,20477,,0.0,0,,RPVOMLLJPHIFFFK98CA,146.61,23.34,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份鎮上興里１７鄰永愛街６６巷３２號,80.42,其他,山坡地保育區,丙種建築用地,1020508,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0860827,169.95,4,2,3,有,無,3500000,20594,,0.0,0,,RPROMLMJPHIFFFK68CA,146.61,23.34,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份鎮興隆里７鄰上坪５２之７號,199.18,,山坡地保育區,丙種建築用地,1020528,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0970627,268.54,5,2,6,有,無,8600000,32025,,0.0,0,,RPUNMLTKPHIFFFK07CA,169.69,75.3,23.55,,
頭份市,房地(土地+建物),苗栗縣頭份鎮興隆里４鄰興隆路一段３７７巷９號,85.27,,山坡地保育區,丙種建築用地,1020430,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,0950120,102.39,4,2,3,有,無,6660000,65045,,0.0,0,,RPUNMLPJPHIFFFK56CA,89.23,4.92,8.26,,
公館鄉,土地,鶴子岡段564地號,2950.0,其他,特定農業區,農牧用地,20507,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7136000,2419,,0.0,0,,RPQNMLOLOHIFFBK48DA,0.0,0.0,0.0,,
苗栗市,房地(土地+建物),苗栗縣苗栗巿文聖里3鄰國華路600巷68號,160.42,工,,,1020528,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0970115,197.28,5,2,4,有,無,10000000,50689,,0.0,0,含增建或未登記建物。,RPVOMLSKOHIFFBK76DA,0.0,0.0,0.0,,
通霄鎮,土地,圳頭段690地號,3516.0,其他,山坡地保育區,農牧用地,1020618,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,569,,0.0,0,,RPPNMLQKPHIFFCK68DA,0.0,0.0,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份鎮尖下里１４鄰尖豐路５７８巷６１號,132.0,住,特定農業區,甲種建築用地,1020520,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0630201,118.83,4,2,3,有,無,5200000,43760,,0.0,0,,RPWOMLTJPHIFFFK27CA,118.83,0.0,0.0,,
頭份市,房地(土地+建物),苗栗縣頭份鎮仁愛里１１鄰銀河路９２號七樓之４,9.58,商,,,1020604,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821021,90.69,3,2,2,有,無,2400000,26464,,0.0,0,,RPRNMLTKPHIFFFK76CA,0.0,0.0,0.0,,
