鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,房地(土地+建物)+車位,桃園縣桃園市莊二街37號6樓之4,12.09,住,,,1020627,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820222,101.66,1,1,1,有,有,有,12000,118,坡道平面,0.0,0,,RPPPMLSKPHIFFAH68CC
桃園區,房地(土地+建物)+車位,桃園縣桃園市中埔一街319號,27.96,住,,,1020718,土地1建物1車位1,一層,7,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0821222,144.71,4,2,2,有,有,無,30000,207,升降機械,0.0,0,含管理費,RPRTMLSKPHIFFAH66CC
八德區,房地(土地+建物),桃園縣八德市廣興路397巷44弄2衖10號,78.14,住,特定農業區,甲種建築用地,1020710,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0840615,219.27,4,2,3,有,有,無,12000,55,,0.0,0,,RPOPMLSKPHIFFFH56DC
大園區,房地(土地+建物),桃園縣大園鄉中正東路一段700巷29之6號二樓,12.7,,特定農業區,甲種建築用地,1020710,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931026,37.5,3,2,2,有,無,有,11000,293,,0.0,0,,RPOOMLSKPHIFFEH98DC
八德區,土地,永福段472地號,90.21,住,,,1020608,土地1建物0車位0,全,,透天厝,,,,0.0,3,2,2,有,無,無,12000,133,,0.0,0,有未保存房屋一棟,RPVNMLTKPHIFFFH27EC
八德區,房地(土地+建物),桃園縣八德市忠勇五街8號一樓,14.52,商,,,1020615,土地1建物1車位0,一層,19,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0980506,112.55,0,0,0,無,有,無,22000,195,,0.0,0,,RPWNMLTKPHIFFFH37EC
桃園區,房地(土地+建物),桃園縣桃園市安慶街133 巷25 號15樓,8.5,住,,,1020715,土地1建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830411,76.43,2,2,1,有,有,有,11250,147,,0.0,0,,RPWOMLTKPHIFFAH76CC
桃園區,房地(土地+建物),桃園縣桃園市榮華街63巷17號,10.64,商,,,1020712,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0941228,33.86,0,1,1,有,有,無,13500,399,,0.0,0,,RPQRMLTKPHIFFAH56DC
八德區,建物,桃園縣八德市興豐路840號,86.0,其他,鄉村區,乙種建築用地,1020618,土地0建物1車位0,全,4,透天厝,住家用,加強磚造,0700203,160.08,5,2,3,有,無,有,13000,81,,0.0,0,,RPTNMLTKPHIFFFH86CC
平鎮區,房地(土地+建物),桃園縣平鎮市中豐路南勢二段93號,70.16,住,,,1020801,土地1建物1車位0,一層,5,店面(店鋪),見使用執照,鋼筋混凝土造,0920721,39.62,3,2,3,有,無,無,17000,429,,0.0,0,,RPRNMLKLPHIFFGH58CC
平鎮區,土地,三興段224地號,361.7,住,,,1020801,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,30000,83,,0.0,0,,RPSNMLKLPHIFFGH68CC
