鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮巿民權九街26巷1號1樓,49.37,住,,,1020622,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),國民住宅,鋼筋混凝土造,0871009,144.76999999999998,3,2,2,有,有,有,10000,69,,0.0,0,,RPQRMLTKPHIFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿康樂街5號3F-9,8.51,住,,,1020717,土地1建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830421,31.16,1,1,1,有,無,有,4000,128,,0.0,0,,RPQOMLOLPHIFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛一街217號3樓之八,10.17,商,,,1020709,土地1建物1車位0,三層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0841206,36.38,1,1,1,有,有,有,6000,165,,0.0,0,租金含管理費,RPVOMLQLPHIFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國盛一街192之5號4樓,18.7,商,,,1020723,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730625,79.93,3,1,1,有,無,有,7000,88,,0.0,0,,RPWOMLQLPHIFFAU87CC
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮巿國聯五路2號之16,78.43,商,,,1020724,土地1建物1車位2,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0841227,270.66,4,2,3,有,無,無,15000,55,坡道平面,0.0,0,租賃一整棟,RPPPMLQLPHIFFAU27CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉安路二段391號,92.0,住,,,1020723,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,鋼筋混凝土造,0820713,128.74,2,2,2,有,無,有,10000,78,,0.0,0,租賃一整棟,RPSPMLQLPHIFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富二街171號1F,19.87,住,,,1020727,土地1建物1車位0,一層,5,套房(1房1廳1衛),商業用,鋼筋混凝土造,0840710,39.18,1,1,1,有,無,有,7000,179,,0.0,0,,RPUOMLKMPHIFFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中山路243號1樓.243-1號2樓,67.0,商,,,1020701,土地3建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741104,249.98000000000002,0,0,0,無,無,無,100000,400,,0.0,0,,RPQQMLKMPHIFFAU07DC
新城鄉,房地(土地+建物),花蓮縣新城鄉北埔路163巷1弄5號,110.0,住,,,1020716,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0811208,155.29,3,2,2,有,無,有,10000,64,,0.0,0,,RPPOMLLMPHIFFAU86DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕七街29號,130.0,商,,,1020720,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土造,0730224,148.64,3,2,2,有,無,無,16000,108,,0.0,0,全棟,RPPPMLLMPHIFFAU86CC
