鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北區,建物,台南市北區實踐街39巷31弄51號,0.0,住,,,1020416,土地0建物1車位0,一層,2,店面(店鋪),住家用,加強磚造,0751210,133.8,4,1,3,有,無,有,15000,112,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊,RPXPMLMJNHIFFAD18CC
中西區,建物,台南市中西區忠義路二段185號1樓之5,0.0,商,,,1020415,土地0建物1車位0,一層,10,店面(店鋪),商業用,鋼筋混凝土構造,0691203,21.98,0,0,0,無,有,有,4888,222,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊,RPPQMLMJNHIFFAD47CC
北區,建物,台南市北區長德街145號,0.0,住,,,1020416,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0630314,82.68,3,1,2,有,無,有,11500,139,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.租整棟透天,RPSQMLMJNHIFFAD77CC
中西區,房地(土地+建物),台南市中西區光賢街23號、23之1號,3305.77,住,,,1020409,土地1建物1車位0,見其他登記事項,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土構造,0910822,7697.74,77,2,80,有,無,有,500000,65,,0.0,0,土地加建物全部,RPVQMLMJNHIFFAD08CC
東區,房地(土地+建物),台南市東區小東路248-8號,80.0,住,,,1020510,土地1建物1車位0,三層,3,店面(店鋪),住商用,鋼筋混凝土構造,0681101,205.48,4,3,4,有,無,無,24000,117,,0.0,0,,RPUNMLNJNHIFFCD97CC
善化區,建物,台南市善化區光復路516號1樓,87.67,住,,,1020501,土地0建物1車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0931222,48.99,0,0,0,無,無,無,9000,184,,0.0,0,,RPROMLNJNHIFFER76CC
新市區,房地(土地+建物),台南市新巿區中山路199-9號,243.04,工,,,1020425,土地1建物1車位0,三層,3,廠辦,工業用,鋼骨鋼筋混凝土造,0840303,266.13,1,1,3,有,無,無,30000,113,,0.0,0,,RPXNMLNJNHIFFER37DC
善化區,土地,曾文段2686-1地號,2110.0,其他,,,1020501,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,55000,26,,0.0,0,,RPSNMLOJNHIFFER86CC
新市區,房地(土地+建物),台南市新巿區大營130之18號,86.0,,特定農業區,甲種建築用地,1020414,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0850315,216.47,5,1,3,有,無,無,18000,83,,0.0,0,,RPSNMLQJNHIFFER17DC
東區,房地(土地+建物)+車位,台南市東區富農街一段131巷20號,25.55,住,,,1020505,土地2建物1車位1,三層,8,店面(店鋪),住商用,鋼筋混凝土構造,0860307,172.72,3,1,3,有,有,無,17000,98,升降平面,0.0,0,,RPVOMLQJNHIFFCD58DC
麻豆區,房地(土地+建物),台南市麻豆區大埕里大埕83之2號三樓,32.0,住,,,1020601,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830524,112.0,3,2,2,有,無,有,7500,67,,0.0,0,,RPWNMLQJNHIFFCR37DC
東區,房地(土地+建物),台南市東區崇德三街12號13樓之2,12.85,住,,,1020421,土地1建物1車位0,十三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0860508,123.81,3,2,2,有,無,有,16000,129,,0.0,0,,RPXOMLQJNHIFFCD68CC
中西區,房地(土地+建物),台南市中西區西賢一街270號,357.58,商,,,1020502,土地1建物1車位0,五層,5,店面(店鋪),住商用,鋼筋混凝土構造,0830208,817.97,20,1,7,有,無,無,60000,73,,0.0,0,5層樓包含地下1樓,RPVNMLQJNHIFFAD18CC
北區,土地,光賢段459-3地號,281.51,住,,,1020505,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,35000,124,,0.0,0,,RPUOMLQJNHIFFAD18CC
中西區,房地(土地+建物),台南市中西區北門路一段51巷13號4樓之6,6.69,住,,,1020413,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0790917,36.87,1,1,1,有,無,有,5500,149,,0.0,0,,RPXPMLQJNHIFFAD58CC
