編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLRJOHIFFAX37CA,20,4.13,,鋼筋混凝土造,82年5月12日,七層,
RPTNMLLKOHIFFAX86CA,2,198.05,住家用,鋼筋混凝土造,100年1月6日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPXNMLKKOHIFFAX27DA,18,109.97,國民住宅,鋼筋混凝土造,84年1月19日,五層,五層 見其他登記事項
RPUNMLKKOHIFFAX96DA,16,171.86,住家用,鋼筋混凝土造,86年9月13日,三層,一層 二層 三層 見其他登記事項
RPPNMLKKOHIFFAX09DA,17,189.89,住家用,鋼筋混凝土造,85年4月25日,五層,一層 二層 三層 四層 五層
RPWNMLQJOHIFFAX57CA,16,167.08,住家用,鋼筋混凝土造,86年10月16日,三層,一層 二層 三層
RPPNMLNKOHIFFAX76DA,28,114.39,住家用,鋼筋混凝土加強磚造,73年11月9日,三層,一層 二層 三層
RPRNMLNKOHIFFAX96DA,18,85.69,國民住宅,鋼筋混凝土造,84年1月19日,五層,二層 見其他登記事項
RPRNMLNKOHIFFAX96DA,18,11.83,樓梯間,鋼筋混凝土造,84年1月19日,五層,
RPPNMLKLOHIFFAX09CA,15,120.69,商業用,鋼筋混凝土造,86年12月6日,五層,一層 夾層 見其他登記事項
RPQNMLTKOHIFFAX37CA,20,121.60,住商用,鋼筋混凝土造,82年5月12日,七層,一層 二層
RPQNMLTKOHIFFAX37CA,20,29.41,避難室,鋼筋混凝土造,82年5月12日,七層,
RPQNMLTKOHIFFAX37CA,20,9.19,,鋼筋混凝土造,82年5月12日,七層,
RPWNMLTKOHIFFAX97CA,17,130.92,住家用,鋼筋混凝土造,85年4月23日,五層,三層 陽台
RPWNMLTKOHIFFAX97CA,17,14.44,電梯間、樓梯,鋼筋混凝土造,85年4月23日,五層,
RPQNMLOLOHIFFAX07DA,33,172.00,住商用,鋼筋混凝土加強磚造,69年4月24日,四層,一層 二層 三層 四層 地下層
RPPNMLTJPHIFFAX47EA,44,22.62,住家用,造,58年6月28日,一層,一層
RPSNMLSJPHIFFAX57DA,23,141.28,住家用,鋼筋混凝土加強磚造,79年1月4日,二層,一層 二層 水箱 電梯樓梯間 夾層
RPQNMLKKPHIFFAX66DA,4,306.66,保養所、辦公室,鋼骨造,98年1月5日,二層,一層 二層
RPTNMLLJPHIFFAX86CA,35,86.20,住家用,鋼筋混凝土加強磚造,67年11月9日,二層,一層 二層 電梯樓梯間
RPTNMLOLOHIFFAX37DA,7,113.37,集合住宅,鋼筋混凝土造,95年7月10日,十四層,八層 陽台
RPTNMLOLOHIFFAX37DA,7,71.91,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPWOMLLJPHIFFAX37DA,17,119.89,住商用,鋼筋混凝土造,85年8月15日,三層,一層 二層 三層 電梯樓梯間
RPPNMLPLOHIFFAX96CA,32,98.64,住家用,鋼筋混凝土加強磚造,70年10月1日,三層,一層 二層 三層
RPPNMLSLOHIFFAX27CA,1,290.01,住家用,鋼筋混凝土造,101年4月23日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPXOMLLJPHIFFAX47DA,,320.66,工業用,見其他登記事項,,一層,
RPSNMLPKPHIFFAX37DA,7,107.67,集合住宅,鋼筋混凝土造,95年7月10日,十四層,二層 陽台
RPSNMLPKPHIFFAX37DA,7,69.52,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPSNMLRKPHIFFAX57DA,7,114.38,集合住宅,鋼筋混凝土造,95年7月10日,十四層,九層 陽台
RPSNMLRKPHIFFAX57DA,7,73.81,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPSNMLPLOHIFFAX37DA,22,160.80,住家用,鋼筋混凝土造,80年5月1日,三層,一層 二層 三層
RPOOMLLJPHIFFAX09CA,15,156.58,住家用,鋼筋混凝土造,87年7月23日,十層,十層 見其他登記事項
RPOOMLLJPHIFFAX09CA,15,51.70,見其他登記事項,鋼筋混凝土造,87年7月23日,十層,
RPRNMLRLOHIFFAX37CA,,211.30,住家用,鋼筋混凝土造,102年4月18日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPUNMLNJPHIFFAX27DA,17,134.33,住家用,鋼筋混凝土造,85年2月15日,十層,九層 見其他登記事項
RPUNMLNJPHIFFAX27DA,17,10.74,電樓梯間、梯間,鋼筋混凝土造,85年2月15日,十層,
RPUNMLNJPHIFFAX27DA,17,55.84,避難室、停車空間,鋼筋混凝土造,85年2月15日,十層,
RPOOMLRKOHIFFAX07CA,,211.30,住家用,鋼筋混凝土造,102年4月18日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLTKOHIFFAX27CA,20,112.28,住商用,鋼筋混凝土造,82年5月12日,七層,一層 二層
RPPNMLTKOHIFFAX27CA,20,29.41,避難室,鋼筋混凝土造,82年5月12日,七層,
RPPNMLTKOHIFFAX27CA,20,7.83,,鋼筋混凝土造,82年5月12日,七層,
RPXNMLRKOHIFFAX87CA,,211.30,住家用,鋼筋混凝土造,102年4月18日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPPNMLPJPHIFFAX86CA,35,87.34,住家用,鋼筋混凝土加強磚造,67年2月25日,二層,一層 二層 電梯樓梯間
RPQNMLTJPHIFFAX47DA,29,101.00,國民住宅,鋼筋混凝土造,73年6月29日,五層,四層
RPTNMLSKPHIFFAX67CA,32,80.00,住家用,鋼筋混凝土加強磚造,70年12月4日,二層,一層 二層 電梯樓梯間
RPQNMLMKPHIFFAX76CA,,235.36,住家用,鋼筋混凝土造,102年3月6日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLTKPHIFFAX57DA,38,95.50,住商用,鋼筋混凝土加強磚造,64年1月23日,三層,一層 二層 三層
RPROMLQKPHIFFAX47DA,,117.79,住家用,見其他登記事項,,一層,
RPXNMLTKPHIFFAX28DA,31,87.08,住商用,鋼筋混凝土造,71年2月27日,五層,一層 二層
RPXNMLTKPHIFFAX28DA,31,7.32,避難室,鋼筋混凝土造,71年2月27日,五層,地下層 見其他登記事項
RPPOMLSKPHIFFAX37CA,33,111.00,住家用,鋼筋混凝土加強磚造,69年5月30日,三層,一層 二層 三層
RPSNMLOLPHIFFAX37DA,4,235.04,住家用,鋼筋混凝土造,98年1月21日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLMLPHIFFAX07DA,46,128.45,住商用,補強磚造、補強空心磚造,56年11月28日,三層,一層 二層 三層
RPRNMLNLPHIFFAX07CA,21,120.64,住家用,鋼筋混凝土造,81年12月30日,七層,四層
RPWNMLTJPHIFFAX97CA,17,104.62,住家用,鋼筋混凝土造,85年2月2日,八層,四層 陽台
RPWNMLTJPHIFFAX97CA,17,16.18,避難室、停車空間,鋼筋混凝土造,85年2月2日,八層,
RPWNMLTJPHIFFAX97CA,17,11.21,電氣室、台電受電室、電樓梯間,鋼筋混凝土造,85年2月2日,八層,
RPWNMLTJPHIFFAX97CA,17,1.39,門廊、門廳,鋼筋混凝土造,85年2月2日,八層,
RPRNMLOLPHIFFAX27DA,8,233.19,農舍,鋼筋混凝土造,94年6月30日,三層,一層 二層 三層 電梯樓梯間 見其他登記事項
RPUNMLNLPHIFFAX37CA,16,256.43,住家用,鋼筋混凝土造,86年3月20日,四層,一層 二層 三層 四層 電梯樓梯間 見其他登記事項
RPRNMLPJQHIFFAX17CA,7,77.52,共用部份,鋼筋混凝土造,95年6月29日,十四層,
RPRNMLPJQHIFFAX17CA,7,114.38,集合住宅,鋼筋混凝土造,95年6月29日,十四層,十三層 陽台
RPSNMLQLPHIFFAX47CA,19,157.32,住家用,鋼筋混凝土造,83年9月10日,四層,一層 二層 三層 四層 電梯樓梯間 見其他登記事項
RPPNMLMLQHIFFAX07EA,28,131.17,農民住宅,鋼筋混凝土加強磚造,74年11月7日,三層,一層 二層 三層
RPPNMLTJQHIFFAX37CA,37,45.00,住家用,鋼筋混凝土加強磚造,65年3月22日,二層,一層 二層
RPTNMLMKQHIFFAX17CA,7,74.26,共用部份,鋼筋混凝土造,95年7月10日,十四層,
RPTNMLMKQHIFFAX17CA,7,114.80,集合住宅,鋼筋混凝土造,95年7月10日,14,五層 陽台
RPVNMLKMPHIFFAX37DA,5,174.10,住家用,鋼筋混凝土造,97年11月18日,三層,一層 二層 三層 陽台
RPPNMLLJQHIFFAX66DA,21,157.02,住家用,鋼筋混凝土造,81年12月30日,七層,四層
