編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMJNHIFFAT78DA,13,99.38,集合住宅,鋼筋混凝土造,88年12月4日,十四層,十一層 陽台
RPQNMLMJNHIFFAT78DA,13,28.81,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,
RPWQMLSJNHIFFAT57CA,18,90.34,集合住宅,鋼筋混凝土造,83年11月16日,七層,三層 陽台
RPWQMLSJNHIFFAT57CA,18,45.11,樓梯間，防空避難室，停車空間,鋼筋混凝土造,83年11月16日,七層,
RPPNMLOKNHIFFAT88CA,36,105.10,住商用,加強磚造,66年5月5日,二層,一層 二層 騎樓
RPQOMLKLNHIFFCT98CA,7,155.59,住家用,鋼筋混凝土造,94年12月14日,三層,一層 二層 三層 陽台 屋頂突出物
RPPOMLKLNHIFFCT88CA,1,200.25,住家用,鋼筋混凝土構造,100年11月7日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLMLNHIFFCT98CA,21,112.02,住家用,加強磚造,81年8月6日,二層,
RPXNMLPKNHIFFCT37CA,19,193.04,住家用,鋼筋混凝土造,83年6月14日,四層,一層 二層 三層 四層 陽台
RPPOMLSJNHIFFCT86CA,22,163.53,住家用,鋼筋混凝土造,80年4月15日,三層,一層 二層 三層
RPOOMLPKNHIFFCT56CA,19,193.04,住家用,鋼筋混凝土造,83年6月14日,四層,一層 二層 三層 四層 陽台
RPVPMLSLNHIFFAT57CA,19,129.77,住商用,鋼筋混凝土造,83年7月1日,十六層,一層 二層 陽台 騎樓
RPVNMLQJNHIFFAT07DA,17,21.81,集合住宅,鋼筋混凝土造,84年11月25日,七層,三層 花台
RPXOMLMLNHIFFAT07CA,,208.68,集合住宅,鋼筋混凝土造,101年11月1日,四層,一層 二層 三層 四層 陽台
RPTOMLSJNHIFFAT17DA,34,86.94,住家用,加強磚造,68年1月26日,二層,一層 二層
RPWOMLNJNHIFFAT96DA,37,61.50,住家用,磚造,65年7月1日,一層,一層
RPPNMLOJNHIFFAT88DA,32,160.89,住商用,ＲＣ造,69年12月15日,三層,一層 二層 三層 屋頂突出物 騎樓
RPRNMLQJNHIFFET96CA,19,139.16,住家用,鋼筋混凝土造,83年7月9日,三層,地下層
RPRNMLQJNHIFFET96CA,19,134.35,共有部份,鋼筋混凝土造,83年7月9日,三層,
RPRNMLOJNHIFFAT09DA,13,120.94,集合住宅,鋼筋混凝土造,88年12月4日,十四層,三層 陽台
RPRNMLOJNHIFFAT09DA,13,82.58,走廊、辦公室、管理員室梯間、俱樂部梯間、公共空間、停車空間、防空避難室、屋頂突出物、陽台,鋼筋混凝土造,88年12月4日,十四層,
RPPOMLTJNHIFFCT07DA,19,84.34,住家用,鋼筋混凝土造,82年12月8日,七層,七層 陽台
