鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
南區,房地(土地+建物)+車位,臺中市南區工學五街３５號二樓之２,24.66,住,,,1101204,土地1建物1車位2,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040529,208.06,3,2,2,有,有,14640000,70364,坡道平面,61.7,0,,RPQOMLTJKIGGFAB47DA,84.67,2.1,12.27,有,00967
新社區,土地,水底寮段上水底寮小段417-1091地號,2004.0,,山坡地保育區,農牧用地,1101211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1650000,823,,0.0,0,含仲介費；,RPQNMLMKKIGGFGB37DA,0.0,0.0,0.0,無,00968
龍井區,土地,龍目井段龍目井小段4-11地號,158.0,住,,,1101207,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8880000,56203,,0.0,0,,RPRNMLKKKIGGFKB67DA,0.0,0.0,0.0,無,
霧峰區,房地(土地+建物),臺中市霧峰區新豐路１２０之１號,75.15,,特定農業區,甲種建築用地,1101210,土地6建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1091202,177.69,4,3,4,有,有,12900000,72598,,0.0,0,,RPWRMLOKKIGGFIB78DA,163.48,0.0,14.21,無,
北區,房地(土地+建物)+車位,臺中市北區文心路四段１９０號９樓之６,7.83,住,,,1101204,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,86.95,1,1,1,有,有,6600000,75906,坡道機械,21.34,0,陽台外推；,RPXPMLNJJHHGFBB67DA,39.47,0.0,7.12,有,
西區,房地(土地+建物)+車位,臺中市西區大墩十街６１號１１樓之６,10.05,住,,,1101201,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840119,100.3,2,2,1,有,有,8320000,82951,坡道機械,0.0,0,含傢俱設備費；,RPUNMLOJJHHGFAB17DA,56.11,0.92,9.6,有,
北區,房地(土地+建物)+車位,臺中市北區大仁街６６號６樓之８,16.61,商,,,1101201,土地1建物1車位1,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960409,111.91,2,2,1,有,有,9280000,88908,坡道機械,16.53,800000,其他增建；,RPQSMLLJKIGGFBB17DA,53.36,1.13,3.16,有,
西屯區,土地,協安段301-6地號,381.7,都市：其他:道路用地,,,1101209,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8244720,21600,,0.0,0,包含公共設施保留地用地；協議價購；,RPTQMLMKKIGGFCB57DA,0.0,0.0,0.0,無,00965
西屯區,房地(土地+建物),臺中市西屯區西安街１４３巷８號六樓之３,4.49,住,,,1101211,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870227,38.04,1,0,1,有,有,3100000,81493,,0.0,0,,RPVNMLNJJHHGFCB37DA,23.2,1.13,2.15,有,
北屯區,土地,青雲段559-3地號,159.31,,,,1101220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9636954,60492,,0.0,0,包含公共設施保留地用地；,RPUNMLKMKIGGFBB27DA,0.0,0.0,0.0,無,00774
北屯區,房地(土地+建物),臺中市北屯區東山路一段１３８巷２３號,178.0,住,,,1101206,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0900504,189.07,8,3,7,有,無,27350000,144655,,0.0,0,,RPQOMLOJJHHGFBB96DA,170.2,3.94,14.93,無,00971
