鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新竹市,租賃房屋,新竹市新竹市國光街１０６號３樓,0.0,,,,1130729,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811228,105.64,3,2,2,有,有,有,15000,142,,0.0,0,續租案件；,RPQOMLRJQHJGFAO86CC,整棟(戶)出租,無,1130801~1140731,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市武陵路１７９巷１０號２樓之４,0.0,,,,1130731,土地0建物1車位0,二層,20,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0890501,108.35,2,2,1,有,有,有,15000,138,,0.0,0,續租案件；,RPROMLRJQHJGFAO96CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市林森路７３號１０樓之９,0.0,,,,1130729,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780107,25.900000000000002,1,0,1,有,有,有,7200,278,,0.0,0,續租案件；,RPSOMLRJQHJGFAO07CC,獨立套房,有,1130730~1140729,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
新竹市,租賃房屋,新竹市新竹市金城一路３５巷７弄９號２樓,0.0,,,,1130803,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,72.09,2,2,1,有,無,有,20000,277,,0.0,0,續租案件；,RPTOMLRJQHJGFAO17CC,整棟(戶)出租,無,1130803~1140802,無,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市中華路六段７９９巷８弄９號９F-２,0.0,,,,1130802,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.7,3,2,2,有,有,有,13000,133,,0.0,0,租金總額含管理費；,RPUOMLRJQHJGFAO27CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅代管
新竹市,租賃房屋,新竹市新竹市東光路１８８巷２５號五樓,0.0,,,,1130801,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0980331,100.97999999999999,3,2,2,有,有,有,25000,248,,0.0,0,,RPVOMLRJQHJGFAO37CC,整棟(戶)出租,有,1130826~1140825,有,冷氣、熱水器、電視機、瓦斯或天然氣、有線電視、網路,社會住宅代管
新竹市,租賃房屋,新竹市新竹市東大路一段３９巷３３號四樓之６,0.0,,,,1130801,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970701,37.72,1,1,1,有,有,有,14500,384,,0.0,0,租金總額含網路費；,RPWOMLRJQHJGFAO47CC,獨立套房,有,1130811~1140810,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,社會住宅代管
新竹市,租賃房屋,新竹市新竹市經國路二段１１１號六樓之２０,0.0,,,,1130802,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860715,38.21,1,1,1,有,有,有,7500,196,,0.0,0,租金總額含管理費；,RPXOMLRJQHJGFAO57CC,獨立套房,有,1130805~1140804,有,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視,社會住宅包租轉租
新竹市,租賃房屋,新竹市新竹市香村路１２１巷２９號,0.0,,,,1130731,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0640601,19.83,6,0,6,有,有,有,6917,349,,0.0,0,租金總額含水費；網路費；其他有線電視/MOD；,RPOPMLRJQHJGFAO76CC,分租套房,無,1130731~1140730,無,冷氣、有線電視、網路,一般代管
新竹市,租賃房屋+車位,新竹市新竹市介壽一路３１號３樓之７,0.0,,,,1130710,土地0建物1車位1,三層,22,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1120501,122.38,2,2,1,有,有,有,31858,260,坡道平面,34.04,0,,RPPPMLRJQHJGFAO86CC,整棟(戶)出租,有,1130801~1140731,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,一般轉租
新竹市,租賃房屋,新竹市新竹市公道五路二段４０５號,0.0,,,,1130712,土地0建物1車位0,一層,3,店面(店鋪),停車空間、機電空間、店舖、住宅,鋼筋混凝土造,0961206,60.24,7,1,8,有,有,無,28000,465,,0.0,0,部分承租1樓。租金總額含管理費；含增建或未登記建物；,RPPNMLTJQHJGFAO86CC,,有,1130901~1160831,有,冷氣、熱水器,
新竹市,租賃房屋,新竹市新竹市榮濱路８６號,0.0,,,,1130802,土地0建物1車位0,一層,15,住宅大樓(11層含以上有電梯),店舖,鋼筋混凝土造,1040520,95.38000000000001,3,2,2,有,有,有,27000,283,,0.0,0,,RPQNMLTJQHJGFAO96CC,整棟(戶)出租,有,1130802~1140801,有,冷氣、熱水器、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
