鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三民區,房地(土地+建物)+車位,高雄市三民區延慶街１７８號十四樓之１,17.65,住,,,1130624,土地1建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1120522,162.23000000000002,3,2,2,有,有,18000000,116184,坡道平面,27.96,2400000,,RPTOMLSJQHJGFDE09DA,63.9,3.68,19.95,有,
三民區,房地(土地+建物)+車位,高雄市三民區裕誠路５８號十四樓,28.3,住,,,1130611,土地1建物1車位2,十四層，夾層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860709,294.57,4,2,4,有,有,25800000,80630,坡道平面,36.6,5000000,其他增建；,RPVQMLNKQHJGFDE09DA,145.48,43.75,25.89,有,02076
三民區,房地(土地+建物),高雄市三民區民族一路８１２之５號二十三樓,7.2,住,,,1130629,土地1建物1車位0,二十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850719,89.43,3,2,2,有,有,7800000,87219,,0.0,0,,RPPNMLPKQHJGFDE38DA,60.62,1.55,7.01,有,02077
三民區,房地(土地+建物)+車位,高雄市三民區德興街９號五樓,17.8,住,,,1130615,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100630,113.76,3,2,2,有,有,15800000,138889,坡道機械,6.58,0,,RPXOMLPKQHJGFDE66DA,59.83,5.35,4.33,有,02078
三民區,土地,中華段二小段1187地號,19.6,都市：其他:第三種特定商業專用區,,,1130629,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1482600,75643,,0.0,0,,RPPPMLPKQHJGFDE58DA,0.0,0.0,0.0,無,
左營區,房地(土地+建物),高雄市左營區自勉路１６２號七樓,12.88,住,,,1130608,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960410,101.32,2,2,1,有,有,7900000,77971,,0.0,0,含傢俱設備費；,RPTTMLNKOHJGFEE09DA,62.99,4.68,5.43,有,02079
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十一路２號十一樓,20.98,住,,,1130610,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130301,173.15,2,2,2,有,有,16580000,94582,坡道平面,17.94,1900000,,RPWNMLSKOHJGFEE66DA,73.85,4.51,18.75,有,
左營區,房地(土地+建物)+車位,高雄市左營區先勝路１１０號十二樓,15.54,住,,,1130615,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960402,138.14,3,2,2,有,有,13500000,97727,坡道平面,17.73,0,含傢俱設備費；其他增建；,RPQPMLSKOHJGFEE88DA,77.3,0.0,5.25,有,02080
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學二十一路２號八樓,20.98,住,,,1130611,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130301,173.15,2,2,2,有,有,16580000,94582,坡道平面,17.94,1900000,,RPUNMLPJPHJGFEE78DA,73.85,4.51,18.75,有,
左營區,房地(土地+建物)+車位,高雄市左營區保靖街４２號十一樓,10.23,商,,,1130603,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1120202,158.27,3,2,2,有,有,20420000,163841,坡道平面,47.98,2350000,含裝潢費；,RPSPMLLKPHJGFEE48DA,64.72,2.27,4.1,有,
