鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
竹北市,租賃房屋,新竹縣竹北市新社里國強街９號,17.26,住,,,1130425,土地1建物1車位0,一層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830622,112.71000000000001,3,2,2,有,有,無,16000,142,,0.0,0,,RPPNMLMLNHJGFBJ28CC,整棟(戶)出租,有,1130501~1140430,有,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
湖口鄉,租賃房屋,新竹縣湖口鄉中山路二段１７５號,0.0,,,,1130519,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,66.11,3,2,2,有,無,有,16000,242,,0.0,0,多人共同承租5；,RPPNMLMLNHJGFDJ48CC,分層出租,無,1130601~1130731,無,冷氣、熱水器、電視機、冰箱,一般代管
湖口鄉,租賃房屋,新竹縣湖口鄉中山路二段１７５號,0.0,,,,1130519,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,,66.11,3,2,2,有,無,有,16000,242,,0.0,0,多人共同承租5；,RPQNMLMLNHJGFDJ58CC,分層出租,無,1130801~1140731,無,冷氣、熱水器、電視機、冰箱,一般代管
新豐鄉,租賃房屋+車位,新竹縣新豐鄉學府街７２巷１６號３樓之２,0.0,,,,1130521,土地0建物1車位1,三層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1070213,85.42,3,2,2,有,有,有,21000,246,坡道機械,0.0,0,,RPRNMLMLNHJGFDJ68CC,整棟(戶)出租,有,1130601~1140531,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,
湖口鄉,租賃房屋+車位,新竹縣湖口鄉國泰街３０號四樓,42.45,,鄉村區,乙種建築用地,1130426,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820223,119.78,3,2,2,有,有,無,19500,163,坡道平面,0.0,2000,,RPSNMLMLNHJGFDJ78CC,整棟(戶)出租,無,1130501~1140430,有,冷氣、熱水器、電視機、冰箱,社會住宅代管
竹北市,租賃房屋,新竹縣竹北市華興街２２６號,0.0,,,,1130519,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0691218,33.05,5,5,5,有,無,有,18500,560,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPQNMLNLNHJGFBJ48CC,分租套房,無,1130531~1140530,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市華興街２２６號,0.0,,,,1130517,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0691218,33.05,5,5,5,有,無,有,18000,545,,0.0,0,租金總額含水費；網路費；含增建或未登記建物；,RPRNMLNLNHJGFBJ58CC,分租套房,無,1130605~1140504,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市台元一街６號７F之１,0.0,,,,1130515,土地0建物1車位0,七層,10,廠辦,工業用,鋼筋混凝土造,1020318,342.4,0,0,0,無,有,無,103580,303,,0.0,0,租金總額含稅；,RPSNMLNLNHJGFBJ68CC,,有,1130601~1160531,有,,
竹北市,租賃房屋,新竹縣竹北市復興七路５號,0.0,,,,1130507,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,24.8,7,0,7,有,無,有,15000,605,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPTNMLNLNHJGFBJ78CC,分租套房,無,1130515~1140514,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
竹北市,租賃房屋,新竹縣竹北市復興七路５號,0.0,,,,1130513,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,23.15,7,0,7,有,無,有,13500,583,,0.0,0,租金總額含水費；瓦斯費；網路費；,RPUNMLNLNHJGFBJ88CC,分租套房,無,1130518~1140517,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路,一般轉租
